Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
12600	-711.9134	-695.0513	-16.86215	0.2912899	0.981603	0.00846067	0.00993626	0.04085493
12800	-710.9973	-692.542	-18.45531	0.2980301	0.989949	0.00992518	0.0001256	0.158547
13000	-708.2039	-689.8692	-18.33472	0.2962406	0.996985	0.000519945	0.00249474	0.150787
13200	-712.9655	-694.8859	-18.07965	0.2954509	0.990228	0.00684999	0.00292189	0.1329171
13400	-714.8694	-698.1217	-16.74768	0.3291975	0.991982	0.00357737	0.00444049	0.0007341853
13600	-708.3809	-691.2598	-17.12106	0.3069113	0.99262	0.0040319	0.0033478	0.04966939
13800	-709.3228	-690.6718	-18.65099	0.2954431	0.998769	0.000909818	0.000321664	0.1774922
14000	-714.0771	-697.0111	-17.06603	0.3161447	0.994207	0.00230505	0.00348765	0.03722248
14200	-714.3097	-696.6923	-17.61745	0.2974024	0.996643	0.00328707	6.99373e-05	0.09722834
14400	-711.2667	-692.5842	-18.68248	0.3399537	0.990932	0.00893609	0.000131591	0.1469746
14600	-706.1962	-689.7627	-16.4335	0.2932052	0.993276	0.00337507	0.00334908	0.004394319
14800	-710.2833	-693.2791	-17.00419	0.2766424	0.994578	0.00537549	4.64576e-05	0.06324923
15000	-709.4563	-691.0455	-18.41085	0.3094529	0.995811	0.00265376	0.00153555	0.1469947
15200	-725.3772	-708.0606	-17.3166	0.2945056	0.976442	0.0036928	0.0198655	0.07412581
15400	-710.1708	-693.8373	-16.33352	0.2860703	0.993037	0.00130325	0.00565934	0.002020179
15600	-706.8208	-689.063	-17.7578	0.28668	0.999349	0.000444063	0.000206576	0.1168657
15800	-715.579	-695.7523	-19.82671	0.2949037	0.993114	0.00428473	0.00260084	0.2775669
16000	-708.5775	-691.1402	-17.43728	0.3183981	0.999416	0.000206641	0.000377564	0.0668785
16200	-710.2382	-693.1085	-17.1297	0.295972	0.994432	1.63218e-05	0.00555202	0.05831233
16400	-713.5343	-692.0399	-21.49436	0.2792189	0.995372	0.000888864	0.00373896	0.4202305
16600	-712.1029	-694.9316	-17.17124	0.3224347	0.989364	0.00122223	0.00941363	0.04007686
16800	-718.2532	-702.261	-15.99226	0.2538274	0.995305	0.00169322	0.00300159	0.0005637643
17000	-716.5928	-691.8324	-24.76042	0.2980498	0.997701	0.000751422	0.00154779	0.6498931
17200	-716.0585	-699.0132	-17.04532	0.317994	0.992679	0.00106639	0.00625477	0.03513701
17400	-710.95	-692.725	-18.22493	0.2977683	0.988632	0.00989496	0.00147348	0.1442623
17600	-713.9314	-696.4985	-17.43283	0.2913609	0.989467	0.0100681	0.000465247	0.08488921
17800	-719.4684	-702.1332	-17.33522	0.2502965	0.995663	0.00403384	0.00030292	0.1107132
18000	-707.8366	-690.3519	-17.48471	0.3157611	0.995399	0.00175578	0.00284571	0.06990694
18200	-711.1458	-693.5748	-17.57099	0.3338699	0.993778	0.00603177	0.000190051	0.06501746
18400	-711.0374	-693.9175	-17.1199	0.2693106	0.993065	0.00548605	0.00144896	0.07753911
18600	-709.155	-692.7206	-16.43437	0.2863806	0.986143	0.00610382	0.00775269	0.009790396
18800	-719.6873	-701.8291	-17.85818	0.2923199	0.994343	0.00356442	0.0020928	0.1238521
19000	-713.2705	-695.4695	-17.80104	0.3163839	0.993117	0.00284704	0.00403554	0.09908261
19200	-708.2476	-689.9214	-18.32612	0.3095586	0.996038	0.00156277	0.00239963	0.1426494
19400	-710.0094	-692.8603	-17.14914	0.3067642	0.998084	0.00164986	0.000266591	0.05140919
19600	-710.0564	-693.4113	-16.64511	0.2880905	0.990168	0.00966372	0.000168224	0.02526382
19800	-710.0188	-693.0012	-17.01767	0.2883202	0.992856	0.00239746	0.00474691	0.05431423
20000	-714.0196	-693.2084	-20.81118	0.3119087	0.986661	0.00413437	0.00920437	0.3376271
20200	-718.2519	-699.9393	-18.31256	0.3017226	0.994223	0.00179755	0.00397952	0.1517909
20400	-713.7714	-695.4059	-18.36545	0.3299822	0.997323	0.00119122	0.00148532	0.1329815
20600	-711.4226	-691.7756	-19.64696	0.2849381	0.999347	0.000351682	0.000301196	0.2668582
20800	-718.6065	-700.4264	-18.18006	0.2940605	0.996837	0.00193257	0.00123007	0.1419113
21000	-710.3988	-693.3471	-17.05172	0.3049348	0.995137	0.0037354	0.00112721	0.04619475
21200	-712.342	-693.0506	-19.29143	0.302268	0.987516	0.00242633	0.0100581	0.2260102
21400	-708.4921	-691.3539	-17.1382	0.3191353	0.99719	0.000887397	0.00192211	0.04040716
21600	-715.6147	-699.1184	-16.49628	0.3007912	0.981447	0.0126759	0.0058771	0.003361229
21800	-711.6866	-693.0413	-18.6453	0.3290835	0.996983	0.00298773	2.95416e-05	0.1536149
22000	-708.3351	-691.2596	-17.07545	0.2940005	0.993151	0.00668957	0.000159337	0.05552607
22200	-709.0255	-691.6258	-17.39978	0.2994191	0.994195	0.000745177	0.00506022	0.07911185
22400	-718.0188	-699.6507	-18.36815	0.2939118	0.98383	0.0104732	0.0056971	0.1596934
22600	-712.3292	-695.434	-16.89516	0.3274424	0.992009	0.00351461	0.00447599	0.01412379
22800	-705.8643	-688.6831	-17.18116	0.2828748	0.992416	0.0016893	0.00589442	0.0732231
23000	-706.8636	-690.2293	-16.63434	0.2749764	0.993129	0.00314581	0.00372495	0.03514228
23200	-710.217	-691.5428	-18.67422	0.2948971	0.994134	0.00180927	0.0040566	0.1778981
23400	-715.078	-698.5063	-16.57163	0.3053745	0.991599	0.00421254	0.00418821	0.005907525
23600	-712.0901	-695.083	-17.00717	0.3063117	0.998619	0.00081098	0.000569696	0.03977971
23800	-709.8373	-693.1878	-16.6495	0.2877226	0.998357	0.000720642	0.000922604	0.02648068
24000	-715.8907	-699.5184	-16.37226	0.2723181	0.9765	0.0157206	0.0077797	0.01639618
