Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-284.7241	-282.3784	-2.345739	0.5837517	0.0170357	0.158692	0.0484769	0.775795	0.06886848
200	-286.1571	-281.375	-4.782092	0.6501926	0.018847	0.0219397	0.300945	0.658268	0.2365015
400	-284.1463	-282.6872	-1.459118	0.549811	0.0154794	0.132867	0.0851796	0.766474	0.01559505
600	-286.5729	-283.5764	-2.996481	0.7029511	0.0414331	0.234642	0.149301	0.574624	0.01665925
800	-285.1956	-281.8969	-3.298732	0.6194321	0.0541904	0.0727909	0.086105	0.786914	0.1240915
1000	-287.2487	-283.1317	-4.116936	0.7515571	0.0785237	0.116637	0.761149	0.0436898	0.07752147
1200	-285.2753	-284.2181	-1.05716	0.5014702	0.0211634	0.0843594	0.808114	0.0863636	0.02227801
1400	-285.8533	-282.7913	-3.061983	0.7017583	0.067044	0.519178	0.271763	0.142016	0.02361256
1600	-284.7821	-281.1267	-3.655445	0.7400106	0.0272796	0.0632466	0.287581	0.621892	0.04395975
1800	-283.8975	-281.5043	-2.393183	0.6272788	0.0142719	0.259749	0.0300803	0.695899	0.03102098
2000	-285.1113	-282.0009	-3.110346	0.706955	0.0169902	0.615312	0.00862411	0.359074	0.02392012
2200	-283.9033	-281.465	-2.438309	0.6339894	0.00503764	0.0417692	0.748232	0.204961	0.02856245
2400	-287.4678	-284.1585	-3.309304	0.7231686	0.118898	0.661917	0.116107	0.103078	0.02789779
2600	-285.3056	-283.8833	-1.422301	0.513633	0.0522529	0.137645	0.576546	0.233556	0.0458597
2800	-286.8281	-282.9959	-3.832146	0.7232133	0.0843294	0.484739	0.379251	0.0516805	0.07732513
3000	-286.6549	-284.1266	-2.528306	0.6367482	0.00343297	0.234573	0.232839	0.529155	0.03574432
3200	-287.2391	-284.9716	-2.267443	0.4320681	0.00225232	0.0458528	0.335547	0.616348	0.1979927
3400	-283.7116	-282.744	-0.9675856	0.514842	0.000457959	0.240842	0.422887	0.335813	0.001792484
3600	-288.0227	-282.027	-5.995723	0.6032694	0.0246713	0.269017	0.520217	0.186094	0.3909104
3800	-288.3333	-288.3853	0.05191217	0.3947718	0.0388569	0.0806532	0.32739	0.553099	0.01837514
4000	-287.8398	-282.2539	-5.585883	0.8062658	0.0345967	0.722461	0.0730693	0.169873	0.1654952
4200	-289.2048	-287.5572	-1.647675	0.5611429	0.150206	0.406609	0.257979	0.185205	0.02303462
4400	-284.2295	-280.7503	-3.479252	0.7122431	0.000166614	0.273006	0.406904	0.319924	0.05359885
4600	-284.1112	-283.1828	-0.928345	0.4881418	0.0225795	0.0240641	0.938181	0.015175	0.0231395
