Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-297.7256	-291.3625	-6.363138	0.8439583	0.03377705
200	-299.7361	-292.6892	-7.046945	0.7393141	0.2083658
400	-299.907	-294.5007	-5.40627	0.6849816	0.09766255
600	-298.9312	-293.233	-5.698276	0.7126392	0.09952504
800	-298.72	-293.7511	-4.968832	0.6952173	0.04247579
1000	-300.9958	-294.3802	-6.615665	0.7271025	0.1733804
1200	-307.5906	-294.0922	-13.49841	1.321432	0.2728195
1400	-301.2442	-292.6178	-8.626418	1.076672	0.02675044
1600	-301.0425	-294.5543	-6.488211	0.6544958	0.2336424
1800	-300.1894	-294.2117	-5.977607	0.6582098	0.181468
2000	-297.5625	-292.2755	-5.286992	0.7622346	0.007355262
2200	-298.774	-293.0035	-5.770548	0.7784042	0.04069451
2400	-297.7979	-291.6092	-6.188699	0.8579719	0.001712301
2600	-297.8142	-292.6836	-5.130571	0.7462849	0.007666753
2800	-298.4503	-291.535	-6.915353	0.8549667	0.07912872
3000	-302.524	-294.9631	-7.560808	0.9443968	0.05205093
3200	-298.0285	-291.8072	-6.221344	0.8052234	0.05843446
3400	-301.7572	-292.4613	-9.29587	1.141421	0.02907773
3600	-299.0715	-291.4922	-7.579304	0.8812841	0.1193443
3800	-300.2405	-294.9412	-5.299364	0.6843687	0.08528609
4000	-300.3262	-289.926	-10.40021	1.096633	0.1917166
4200	-304.4917	-294.9296	-9.562074	1.179904	0.01704427
4400	-299.355	-292.6789	-6.67604	0.7553074	0.1554222
4600	-298.2297	-291.1353	-7.094466	0.9059806	0.04554264
4800	-297.6965	-290.8091	-6.88747	0.9192651	0.01062027
5000	-302.39	-298.3962	-3.993824	0.6065891	0.03396292
5200	-300.2985	-290.358	-9.94049	0.979996	0.2633097
5400	-304.0139	-292.9746	-11.03934	0.8161593	0.5412417
5600	-299.339	-292.2398	-7.099166	0.9197415	0.0313316
5800	-300.2232	-294.5528	-5.670346	0.7269142	0.08245159
6000	-297.564	-290.7502	-6.813755	0.9125788	0.009824557
6200	-299.8188	-294.7712	-5.047661	0.6431183	0.1020543
6400	-305.8794	-296.3203	-9.55911	0.6481521	0.5327529
6600	-297.7647	-291.0462	-6.718482	0.8844152	0.02910904
6800	-298.3175	-291.0552	-7.26228	0.9256118	0.04279435
7000	-298.9884	-292.79	-6.198362	0.7589535	0.1041558
7200	-300.3063	-294.1891	-6.117106	0.8349782	0.01801459
7400	-301.3974	-291.76	-9.637356	0.8034131	0.4080456
7600	-301.2547	-291.1572	-10.09749	1.000903	0.2542289
7800	-300.4832	-290.4386	-10.04451	1.224742	0.02132805
8000	-299.7859	-293.4289	-6.35703	0.8311294	0.04706419
8200	-299.4487	-290.1114	-9.337329	1.165937	0.00902073
8400	-301.0468	-292.8807	-8.166159	0.9361657	0.1249918
8600	-299.9431	-290.4187	-9.524395	0.9848257	0.2134796
8800	-298.4596	-290.1087	-8.350899	1.047962	0.02892365
9000	-297.9798	-290.7677	-7.212033	0.9301452	0.03255928
9200	-299.6742	-294.9703	-4.703876	0.6662176	0.04506367
9400	-303.477	-290.3218	-13.15521	1.159043	0.4079273
9600	-298.4545	-292.4307	-6.023797	0.7908509	0.05372101
9800	-298.3349	-292.7807	-5.554195	0.7480456	0.04924209
10000	-300.0442	-293.2178	-6.826345	0.7705396	0.152309
10200	-298.7318	-291.3324	-7.399398	0.9007874	0.08101923
10400	-300.8436	-290.0918	-10.75182	1.262831	0.05557062
10600	-298.4522	-292.5234	-5.928782	0.7487063	0.08575742
10800	-301.894	-293.777	-8.116973	0.8284103	0.2270729
11000	-299.9578	-291.7672	-8.190632	0.9882851	0.0740858
11200	-298.5729	-290.6778	-7.895073	0.9751699	0.05632208
11400	-301.5621	-293.8686	-7.693509	0.9046486	0.1034164
11600	-301.8113	-290.9749	-10.83635	1.113655	0.2151847
11800	-301.334	-294.4489	-6.885173	0.9221196	0.007033905
12000	-300.3647	-291.9897	-8.37501	0.7840842	0.2995497
12200	-298.8467	-292.5023	-6.344418	0.8167063	0.05903002
12400	-298.1377	-291.193	-6.944702	0.9071057	0.02860089
12600	-298.2045	-290.7487	-7.455781	0.9282043	0.05998801
12800	-302.457	-296.3531	-6.103899	0.8040395	0.0484095
13000	-300.535	-292.7497	-7.785226	1.009407	0.009895162
13200	-302.034	-293.5413	-8.492722	1.051729	0.0383447
13400	-298.8651	-292.7211	-6.144044	0.7494486	0.106355
13600	-299.9	-291.1116	-8.788469	0.9208401	0.2018584
13800	-298.2962	-290.8008	-7.495441	0.9315706	0.06031093
14000	-299.1716	-291.2522	-7.91943	0.9434589	0.0915763
14200	-300.6619	-291.9666	-8.695345	0.9844252	0.1274393
14400	-302.8225	-296.1578	-6.664758	0.5907607	0.3147581
14600	-299.5144	-290.2253	-9.289064	1.159553	0.01047968
14800	-299.2489	-292.0896	-7.159387	0.890568	0.06646076
15000	-299.1306	-293.8153	-5.315249	0.6830782	0.08971935
15200	-299.7345	-292.5317	-7.202818	0.7586703	0.2043428
15400	-300.6723	-291.8825	-8.78977	0.9406091	0.1815713
15600	-300.7281	-292.3674	-8.360793	1.039125	0.03787355
15800	-302.3231	-295.8464	-6.476666	0.7116603	0.1745148
16000	-298.1803	-291.7038	-6.476526	0.8457488	0.04344592
16200	-298.1501	-291.0229	-7.127221	0.8774736	0.07756383
16400	-304.3882	-292.9096	-11.47859	0.8726318	0.530283
16600	-301.5387	-293.5529	-7.985777	0.8988092	0.1435365
16800	-300.5158	-295.111	-5.404795	0.62751	0.1543385
17000	-298.3285	-290.6964	-7.632038	0.9965693	0.007708531
17200	-301.1289	-295.6652	-5.463684	0.7309803	0.05550166
17400	-298.7444	-290.3707	-8.373772	0.9699623	0.11142
17600	-300.578	-296.4991	-4.078964	0.6312802	0.01780386
17800	-299.5591	-291.0958	-8.463313	0.936606	0.1562802
18000	-299.3163	-291.7514	-7.564824	0.807634	0.1922396
