Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
0	-295.2887	-279.214	-16.07469	1.81593	0.240551	0.0650886	0.694361	0.09877689
200	-292.6952	-276.5539	-16.14127	1.865531	0.238389	0.00702097	0.75459	0.05730005
400	-294.8922	-276.6791	-18.21304	2.032938	0.22655	0.0193292	0.754121	0.09434574
600	-296.3722	-281.0705	-15.30167	1.517712	0.230844	0.000714618	0.768442	0.3109384
800	-296.3205	-274.4489	-21.87159	2.285461	0.153667	0.00840753	0.837925	0.2068317
1000	-294.8557	-275.375	-19.48071	2.043654	0.17384	0.0045223	0.821638	0.2088713
1200	-295.2088	-279.7725	-15.43634	1.748047	0.287441	0.00388825	0.70867	0.1030204
1400	-294.6332	-274.6132	-20.02004	2.145475	0.198261	0.0345234	0.767215	0.1620818
1600	-295.0563	-276.826	-18.23033	2.021218	0.18055	0.00474655	0.814704	0.1078335
1800	-293.0518	-274.033	-19.01887	2.115317	0.179403	0.0111264	0.809471	0.09321316
2000	-297.971	-285.9383	-12.03267	1.334644	0.266792	0.0158457	0.717362	0.1726938
2200	-291.4779	-276.5575	-14.92035	1.796691	0.242081	0.000292453	0.757626	0.005258221
2400	-295.7636	-275.1762	-20.58737	2.343169	0.175546	0.197477	0.626977	0.02503909
2600	-296.7457	-273.8933	-22.85245	2.328641	0.187933	0.104321	0.707746	0.2592848
2800	-296.8413	-279.3775	-17.46388	2.026108	0.212469	0.0114947	0.776037	0.02918662
3000	-294.0757	-281.0423	-13.03344	1.537309	0.248523	0.00295885	0.748518	0.07416293
3200	-295.4949	-271.5145	-23.98038	2.557097	0.164474	0.0615811	0.773945	0.1468383
3400	-295.0399	-276.3768	-18.66314	2.113206	0.245837	0.0239388	0.730225	0.06183184
3600	-298.6504	-277.8145	-20.83586	2.375113	0.217583	0.00766949	0.774747	0.01833305
3800	-291.9137	-277.6616	-14.25206	1.698827	0.251769	0.00122194	0.747009	0.03527883
4000	-297.7256	-276.7458	-20.97987	2.250359	0.204353	0.207212	0.588435	0.1537186
4200	-294.6964	-275.406	-19.2904	2.038799	0.209887	0.0218649	0.768248	0.193677
4400	-300.9483	-282.9879	-17.96039	2.074204	0.230242	0.344697	0.425061	0.03089181
4600	-298.1641	-279.0503	-19.11374	2.123576	0.17579	0.152567	0.671642	0.09448588
4800	-294.589	-275.2747	-19.3143	2.157903	0.185559	0.0856723	0.728769	0.08136098
5000	-292.7108	-273.5681	-19.14276	2.209157	0.206865	0.0267498	0.766385	0.0147358
5200	-295.7763	-283.3272	-12.44907	1.549791	0.29855	0.0591425	0.642307	0.005023899
5400	-294.7078	-275.5895	-19.11834	2.056811	0.183121	0.0218068	0.795072	0.1604284
5600	-298.3755	-267.305	-31.0705	3.382119	0.137132	0.200685	0.662183	0.03468191
5800	-295.0707	-272.37	-22.70062	2.449732	0.177891	0.0294038	0.792706	0.1271321
6000	-293.8335	-280.5644	-13.26916	1.612511	0.260175	0.00269253	0.737132	0.02358217
6200	-297.5655	-277.7696	-19.79597	2.100308	0.18861	0.0319007	0.779489	0.1830657
6400	-292.2442	-273.6611	-18.58302	2.061089	0.194522	0.0152699	0.790208	0.104
