Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
12600	-650.0791	-632.5839	-17.4952	0.2993506	0.989101	0.00479771	0.00610084	0.08428126
12800	-648.8151	-631.1427	-17.6724	0.3089476	0.997369	0.000170272	0.00246054	0.09412476
13000	-650.2435	-632.7195	-17.52402	0.3482329	0.999555	3.56286e-05	0.000409693	0.05157146
13200	-655.1076	-636.7745	-18.33314	0.2753865	0.983874	0.0160711	5.48345e-05	0.1695466
13400	-659.232	-641.661	-17.57107	0.3245121	0.977353	0.0169395	0.00570779	0.06989361
13600	-659.0784	-637.7148	-21.3636	0.3272028	0.989416	0.00963123	0.00095272	0.3808224
13800	-651.9629	-633.3528	-18.61006	0.3277332	0.997832	0.000325706	0.00184235	0.1516622
14000	-655.3857	-636.2286	-19.15706	0.2876115	0.992586	0.00697862	0.000435584	0.2264995
14200	-654.2205	-636.8365	-17.38402	0.344855	0.996564	0.00328782	0.000148198	0.03921136
14400	-651.0086	-634.4847	-16.52387	0.2982612	0.984605	0.00197811	0.0134171	0.007491438
14600	-654.7677	-637.7105	-17.05714	0.3142854	0.979053	0.0178654	0.00308117	0.03828896
14800	-654.521	-636.9387	-17.58236	0.3160338	0.997291	0.00162146	0.00108796	0.07607565
15000	-652.869	-635.2789	-17.59009	0.330949	0.989328	0.000716764	0.0099557	0.07049261
15200	-652.672	-632.3082	-20.36376	0.3151246	0.99157	0.00829724	0.000132326	0.3203965
15400	-653.5297	-635.9119	-17.61781	0.3086909	0.989974	0.00478151	0.00524431	0.08639593
15600	-651.7769	-635.0948	-16.68212	0.3228869	0.995979	0.00198456	0.00203628	0.0005225817
15800	-652.2702	-632.7688	-19.50141	0.3120694	0.9961	0.00138632	0.00251349	0.2406949
16000	-653.2334	-634.6125	-18.6209	0.3424495	0.995743	0.0025282	0.00172845	0.1406049
16200	-650.6887	-633.8951	-16.79356	0.3209389	0.982154	0.00419251	0.013654	0.0114187
16400	-649.8153	-633.2041	-16.61119	0.315617	0.982426	0.00109112	0.0164826	0.0006546187
16600	-657.1203	-636.6933	-20.42706	0.3726297	0.99746	0.00016161	0.00237843	0.2722381
16800	-651.8315	-635.0632	-16.76837	0.3143523	0.992135	0.00382148	0.00404384	0.01406466
17000	-649.3701	-632.6564	-16.71379	0.3128946	0.992748	0.000591759	0.00665983	0.01129372
17200	-643.8825	-626.9538	-16.92866	0.3369948	0.996984	0.000285355	0.00273089	0.009185436
17400	-657.0452	-640.6505	-16.39469	0.2648609	0.991492	0.00836084	0.000146838	0.02434459
17600	-654.6086	-637.9433	-16.66533	0.2967592	0.992248	0.00257611	0.00517606	0.02011678
17800	-652.9929	-633.6016	-19.3913	0.2752835	0.992138	0.00395051	0.00391193	0.2568765
18000	-646.3432	-629.6351	-16.70804	0.2962517	0.989683	0.00366024	0.00665684	0.02427369
18200	-649.4134	-632.6761	-16.73731	0.2914188	0.989284	0.00283159	0.00788429	0.03036494
18400	-648.1578	-631.1323	-17.02546	0.332732	0.991627	0.00465278	0.00371986	0.0205962
18600	-649.4573	-631.873	-17.58428	0.3401617	0.998866	0.00102527	0.000108565	0.06019527
18800	-652.9442	-634.284	-18.66026	0.3119892	0.995362	0.00170958	0.00292841	0.1718148
19000	-654.9381	-637.6843	-17.25374	0.3215461	0.992535	0.0073322	0.00013305	0.04703499
19200	-650.4027	-630.7069	-19.6958	0.3326065	0.993301	0.00248747	0.00421186	0.2414269
19400	-657.4479	-639.0021	-18.44584	0.3177112	0.989965	0.00188531	0.00814961	0.1435386
19600	-649.5579	-631.9416	-17.61626	0.3051462	0.992673	0.0062756	0.00105128	0.08840368
19800	-654.6688	-637.6926	-16.97621	0.3102147	0.995772	0.00154461	0.00268315	0.03493615
