Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
8000	-303.157	-281.196	-21.96095	2.304715	0.160359	0.54563	0.294011	0.227141	0.286109	0.243375	0.243375	0.2000753
8200	-301.4962	-273.2719	-28.22437	3.122087	0.157056	0.509207	0.333737	0.235727	0.291585	0.236344	0.236344	0.01054193
8400	-300.9685	-276.9335	-24.03499	2.623072	0.176886	0.473687	0.349427	0.271893	0.311295	0.208406	0.208406	0.08958754
8600	-299.9054	-270.4829	-29.42256	3.130607	0.135753	0.260199	0.604049	0.342852	0.335561	0.160793	0.160793	0.1192617
8800	-302.8323	-278.9734	-23.85889	2.695178	0.150243	0.36677	0.482987	0.290599	0.319466	0.194968	0.194968	0.0008047733
9000	-300.1457	-273.1646	-26.9811	2.982175	0.14185	0.353142	0.505008	0.28657	0.317818	0.197806	0.197806	0.02516888
9200	-303.7151	-284.0939	-19.62125	2.220336	0.147673	0.258023	0.594304	0.364	0.339449	0.148276	0.148276	0.05021223
9400	-303.9792	-277.1973	-26.78188	2.824792	0.177382	0.361795	0.460823	0.328987	0.332215	0.169399	0.169399	0.1618624
9600	-302.0659	-274.5806	-27.48533	2.954796	0.18568	0.406852	0.407468	0.313366	0.327659	0.179488	0.179488	0.1018732
9800	-298.9129	-273.7652	-25.14774	2.761677	0.146209	0.362006	0.491785	0.287691	0.318283	0.197013	0.197013	0.0620229
10000	-299.5612	-275.6046	-23.95662	2.698228	0.143983	0.462797	0.39322	0.237291	0.292549	0.23508	0.23508	0.007483928
10200	-299.4709	-271.897	-27.57391	2.92038	0.133283	0.323217	0.5435	0.291967	0.320012	0.194011	0.194011	0.1473649
10400	-298.8136	-273.8249	-24.98876	2.808263	0.131927	0.370593	0.49748	0.262531	0.306699	0.215385	0.215385	0.0007383777
10600	-302.254	-282.277	-19.97699	2.156079	0.17825	0.430612	0.391137	0.29276	0.320325	0.193458	0.193458	0.1493057
10800	-298.2462	-273.552	-24.69416	2.737419	0.131883	0.382053	0.486064	0.256614	0.303615	0.219886	0.219886	0.04247148
11000	-300.7654	-262.7915	-37.97396	4.063117	0.119816	0.273882	0.606302	0.304335	0.324633	0.185516	0.185516	0.04466759
11200	-301.6721	-270.7234	-30.94872	3.094122	0.145605	0.301891	0.552505	0.325377	0.331237	0.171693	0.171693	0.3053728
11400	-303.5066	-280.9465	-22.56008	2.303357	0.157769	0.290587	0.551644	0.351884	0.337398	0.155359	0.155359	0.2548508
11600	-299.3473	-273.2573	-26.08996	2.862281	0.129336	0.397167	0.473497	0.24565	0.297525	0.228412	0.228412	0.05745309
11800	-300.1141	-272.9707	-27.14341	2.885164	0.135994	0.332711	0.531295	0.290149	0.319285	0.195283	0.195283	0.1419808
12000	-299.7454	-269.2246	-30.5208	3.276795	0.126889	0.388616	0.484495	0.246144	0.29781	0.228023	0.228023	0.08505008
12200	-301.5379	-278.6623	-22.8756	2.561439	0.182454	0.518711	0.298835	0.260216	0.305509	0.217138	0.217138	0.03604693
12400	-300.3537	-274.0903	-26.2634	2.833196	0.106322	0.314096	0.579582	0.252896	0.301605	0.22275	0.22275	0.1024613
12600	-300.6337	-274.2033	-26.43036	2.802281	0.162464	0.319906	0.517631	0.336804	0.334181	0.164508	0.164508	0.1510413
12800	-300.1898	-267.8676	-32.32224	3.515687	0.114781	0.397505	0.487714	0.224057	0.284064	0.24594	0.24594	0.02718631
13000	-300.2642	-272.9838	-27.28045	2.91646	0.156976	0.391909	0.451114	0.285991	0.317576	0.198217	0.198217	0.1223667
13200	-305.2273	-276.8103	-28.41706	3.027805	0.20315	0.469138	0.327712	0.302177	0.323867	0.186978	0.186978	0.124266
13400	-300.1519	-276.4466	-23.70527	2.653015	0.158435	0.387543	0.454022	0.290185	0.3193	0.195258	0.195258	0.02783675
13600	-302.571	-281.8834	-20.68759	2.326558	0.19921	0.342626	0.458163	0.367657	0.339976	0.146183	0.146183	0.05056304
13800	-303.9236	-278.9231	-25.00053	2.645921	0.191186	0.34004	0.468774	0.359896	0.338807	0.150649	0.150649	0.1608973
14000	-301.2811	-275.2292	-26.0519	2.786133	0.153779	0.349273	0.496948	0.305692	0.325106	0.184601	0.184601	0.1258459
14200	-300.9798	-268.7757	-32.20407	3.344715	0.145729	0.337848	0.516424	0.301356	0.323571	0.187536	0.187536	0.1897468
14400	-300.3805	-274.6886	-25.69189	2.816977	0.144008	0.463517	0.392475	0.23704	0.292395	0.235283	0.235283	0.0621934
14600	-303.8179	-277.9829	-25.83501	2.817246	0.185298	0.69425	0.120452	0.210674	0.274707	0.257309	0.257309	0.07328924
14800	-300.4165	-267.194	-33.22254	3.459308	0.106933	0.247947	0.64512	0.301321	0.323558	0.187561	0.187561	0.1732688
15000	-305.8093	-287.1227	-18.68664	1.936783	0.191776	0.522653	0.285572	0.268432	0.309636	0.210966	0.210966	0.2310732
15200	-301.0227	-277.2932	-23.7295	2.660545	0.154246	0.259143	0.586611	0.373126	0.340687	0.143094	0.143094	0.02246942
15400	-299.1682	-273.3809	-25.78728	2.780276	0.119696	0.367185	0.513118	0.245843	0.297636	0.22826	0.22826	0.1091548
15600	-298.7073	-273.4098	-25.29744	2.765878	0.156017	0.342687	0.501295	0.312845	0.327492	0.179831	0.179831	0.07258798
