Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
0	-650.3096	-633.6347	-16.67484	0.3170113	0.984089	0.0147897	0.00112111	0.004636555
200	-650.4715	-632.8124	-17.65909	0.3488733	0.99291	0.00144253	0.00564722	0.06002574
400	-653.0291	-635.7135	-17.31561	0.3584239	0.997424	0.000370103	0.00220625	0.02294215
600	-652.5845	-634.205	-18.37957	0.3189473	0.996292	0.000894032	0.00281423	0.1446552
800	-650.8024	-629.879	-20.92334	0.3342634	0.994677	0.00370115	0.00162172	0.3383416
1000	-651.3414	-634.0939	-17.24744	0.3699061	0.996831	6.36105e-06	0.00316227	0.008428971
1200	-651.1693	-634.525	-16.64427	0.290058	0.998758	0.00118816	5.40526e-05	0.02388714
1400	-657.0105	-639.8257	-17.18481	0.3655684	0.995873	0.00215438	0.00197302	0.006866895
1600	-655.6012	-637.5197	-18.08148	0.2930305	0.987065	0.00604045	0.00689476	0.1379147
1800	-654.7419	-638.2639	-16.47805	0.2855833	0.990879	0.00330587	0.00581492	0.01415568
2000	-653.3963	-636.7478	-16.64853	0.2852297	0.988955	0.000317546	0.0107272	0.02726554
2200	-657.4375	-640.7525	-16.68498	0.314168	0.994039	0.00204825	0.00391259	0.007910226
2400	-651.617	-634.1041	-17.51288	0.3196214	0.990224	0.0088311	0.00094506	0.07150923
2600	-645.4529	-628.5349	-16.918	0.3272616	0.995798	0.0017778	0.00242466	0.01592116
2800	-649.3987	-632.3743	-17.02434	0.283661	0.994555	0.00173486	0.00371053	0.0605788
3000	-649.8529	-631.3581	-18.49482	0.2993238	0.988583	0.00462505	0.00679233	0.1690916
3200	-656.0875	-639.0104	-17.07705	0.3465486	0.997149	0.00250556	0.000345857	0.01373826
3400	-649.4387	-632.2887	-17.14993	0.323066	0.995554	0.00379044	0.0006558	0.03827409
3600	-646.6409	-629.6211	-17.01979	0.31166	0.991801	0.00706503	0.00113411	0.03722656
3800	-655.2911	-636.7956	-18.49551	0.3110547	0.992713	0.00446992	0.00281751	0.1566173
4000	-655.3593	-638.069	-17.29034	0.3024551	0.990099	0.00411352	0.00578749	0.0660233
4200	-653.0852	-633.6425	-19.44267	0.3085296	0.998641	0.000138599	0.00122079	0.2315851
4400	-648.917	-632.5003	-16.4167	0.2838676	0.995181	0.00309326	0.00172609	0.010605
4600	-661.6758	-645.2421	-16.43377	0.2667329	0.983307	0.0075361	0.00915709	0.02569375
4800	-650.6797	-633.8573	-16.82241	0.2777227	0.991845	0.00655538	0.00159962	0.04934119
5000	-648.0425	-631.112	-16.93043	0.319019	0.998887	0.000590729	0.000522392	0.02401652
5200	-650.9374	-631.4775	-19.45989	0.330304	0.994637	0.00152399	0.00383919	0.2201303
5400	-658.8417	-640.6927	-18.14893	0.3379786	0.984271	0.00398274	0.0117466	0.1084204
5600	-648.9218	-631.8897	-17.03207	0.3003942	0.99763	0.00173854	0.000630981	0.04707489
5800	-649.4645	-631.9039	-17.56054	0.3442001	0.998727	0.00051276	0.000759937	0.05385093
6000	-656.129	-636.5099	-19.61906	0.3053883	0.99702	0.00256472	0.00041567	0.2598286
