Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-320.577	-306.8801	-13.69685	1.522135	0.08320368
200	-324.216	-308.3988	-15.81722	1.575701	0.2265337
400	-319.2226	-301.4517	-17.77094	2.002026	0.01528352
600	-320.1602	-307.7516	-12.40865	1.452563	0.02792416
800	-320.6418	-308.2676	-12.37423	1.373307	0.09684052
1000	-321.1314	-310.431	-10.70043	1.306459	0.004086179
1200	-318.8249	-301.7075	-17.11742	1.951778	0.0007218685
1400	-320.0285	-303.0338	-16.99467	1.935305	0.004714
1600	-319.1731	-301.9142	-17.25895	1.829003	0.1313106
1800	-323.0235	-311.3829	-11.64058	1.262121	0.1346566
2000	-319.104	-304.1314	-14.97259	1.693696	0.04126287
2200	-319.6501	-301.818	-17.83212	2.001754	0.02118022
2400	-321.3065	-301.894	-19.41251	1.843966	0.3220103
2600	-323.0685	-300.8519	-22.21665	2.143797	0.305257
2800	-320.5317	-306.5827	-13.94906	1.459802	0.1664647
3000	-320.6851	-307.5444	-13.14071	1.488476	0.0638189
3200	-318.1079	-302.9923	-15.11567	1.742555	0.009393135
3400	-319.5723	-303.9499	-15.62237	1.71132	0.08818328
3600	-321.218	-302.8977	-18.32029	1.803952	0.2572531
3800	-322.9601	-311.8753	-11.08474	1.224448	0.1173856
4000	-319.7577	-305.3902	-14.36753	1.600604	0.07392404
4200	-321.0202	-306.2594	-14.76082	1.493046	0.2074019
4400	-320.0208	-306.2305	-13.79029	1.596184	0.02166846
4600	-320.6037	-302.1795	-18.42428	1.80005	0.2697503
4800	-321.2495	-301.6684	-19.58115	1.974548	0.216893
5000	-319.7878	-303.3064	-16.48137	1.782361	0.1023643
5200	-318.4816	-302.8151	-15.66647	1.766797	0.0386191
5400	-318.7079	-305.3612	-13.34669	1.573121	0.002219558
5600	-322.5796	-303.5417	-19.03783	2.081874	0.06144133
5800	-319.8261	-304.1516	-15.67449	1.623437	0.1762461
6000	-319.4879	-302.3264	-17.16153	1.867892	0.08469297
6200	-322.9039	-300.7508	-22.15318	2.389439	0.06512648
6400	-321.7637	-307.9632	-13.80051	1.617668	0.002944177
6600	-318.3695	-301.8001	-16.56939	1.839708	0.05531889
6800	-320.1361	-303.2944	-16.84168	1.914934	0.009612217
7000	-320.0155	-303.5447	-16.47081	1.717888	0.1588716
7200	-320.5353	-306.3395	-14.19576	1.643498	0.01634938
7400	-319.3823	-303.1979	-16.18436	1.854931	0.004177487
7600	-323.8099	-302.8001	-21.00982	1.932421	0.3965289
7800	-318.9343	-302.4506	-16.48364	1.867798	0.02038502
8000	-319.8964	-304.2431	-15.6533	1.627916	0.1693435
8200	-321.7331	-308.4105	-13.32255	1.549345	0.02299188
8400	-318.6649	-302.3342	-16.33073	1.848142	0.02443346
8600	-324.2875	-307.2659	-17.02163	1.76767	0.1615116
8800	-321.9351	-301.245	-20.69009	2.264878	0.04434365
9000	-326.4	-299.8591	-26.54089	2.712875	0.1792128
9200	-319.7142	-302.9896	-16.72464	1.908487	0.004615076
9400	-319.331	-302.3262	-17.00484	1.836519	0.09989353
9600	-321.427	-303.0375	-18.38951	1.962758	0.1137233
