Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-301.5424	-283.4429	-18.09949	1.922751	0.1269747
200	-301.3518	-285.2506	-16.10121	1.820543	0.02858974
400	-302.0373	-285.6172	-16.42008	1.740487	0.1334188
600	-299.9069	-285.9616	-13.94531	1.598978	0.03472322
800	-300.8423	-287.5639	-13.27831	1.479673	0.0843581
1000	-301.9504	-288.2252	-13.72521	1.585412	0.02695654
1200	-302.8363	-285.3399	-17.49633	1.886515	0.09652256
1400	-300.7956	-284.2607	-16.53496	1.81455	0.0801965
1600	-305.281	-285.2204	-20.06062	1.804419	0.4147893
1800	-299.4483	-284.8511	-14.59718	1.695326	0.005107241
2000	-303.0814	-287.2194	-15.86199	1.477309	0.3359589
2200	-300.5173	-285.8119	-14.70532	1.672073	0.03704748
2400	-302.4756	-285.6927	-16.78298	1.760728	0.1481912
2600	-301.873	-283.8673	-18.00576	1.867159	0.1685427
2800	-299.7622	-285.8894	-13.87277	1.603297	0.02393726
3000	-303.7891	-284.6869	-19.10225	1.994127	0.1508895
3200	-303.0646	-283.3636	-19.70106	2.046187	0.1606173
3400	-299.8287	-285.0973	-14.73146	1.699406	0.0140928
3600	-303.0595	-289.7361	-13.3234	1.565921	0.006654066
3800	-299.7111	-285.4567	-14.25435	1.618117	0.04640726
4000	-299.2912	-285.5206	-13.7706	1.600834	0.016775
4200	-303.2718	-289.1752	-14.09662	1.517696	0.1218345
4400	-300.1894	-284.2666	-15.92273	1.725812	0.1054072
4600	-300.5778	-283.4824	-17.09535	1.87747	0.07286559
4800	-304.6708	-292.2402	-12.43065	1.257169	0.211933
5000	-304.3806	-287.9621	-16.41848	1.515262	0.3632905
5200	-300.3026	-285.2234	-15.0793	1.724077	0.02362169
5400	-302.8854	-282.6735	-20.21186	2.137686	0.1214952
5600	-300.9825	-286.7196	-14.26296	1.593814	0.07043532
5800	-304.474	-283.397	-21.07708	2.176105	0.1665405
6000	-300.3263	-286.8694	-13.45689	1.51679	0.06635277
6200	-299.4758	-286.645	-12.83081	1.507904	0.01557663
6400	-307.3664	-294.7164	-12.65003	1.390142	0.1080152
6600	-300.1455	-283.3901	-16.75541	1.863135	0.05250009
6800	-302.4442	-285.8177	-16.62643	1.793951	0.1036996
7000	-303.4058	-285.1106	-18.29521	1.825648	0.2364359
7200	-307.8984	-283.1104	-24.78802	2.081805	0.6148101
7400	-299.288	-286.5439	-12.74406	1.509612	0.005465552
7600	-306.6808	-292.7254	-13.95532	1.449807	0.177867
7800	-300.5499	-286.6597	-13.89021	1.548994	0.07924014
8000	-299.9033	-287.8348	-12.06843	1.437867	0.009350781
8200	-302.2804	-283.4114	-18.86897	2.054981	0.07079271
8400	-303.889	-283.9997	-19.88925	2.163654	0.06558152
8600	-304.8301	-286.3602	-18.46992	2.080273	0.007791128
8800	-300.9349	-283.6881	-17.24679	1.949898	0.01499081
9000	-305.6745	-284.0815	-21.59302	2.25894	0.132302
9200	-302.4648	-284.0009	-18.46384	1.788846	0.2896192
9400	-304.4099	-289.2014	-15.20857	1.706658	0.05139919
9600	-305.1069	-284.6522	-20.45465	2.245382	0.03787568
9800	-305.122	-282.5375	-22.58443	2.028355	0.4662748
10000	-299.2916	-285.3615	-13.93008	1.624672	0.009038099
10200	-301.36	-289.0231	-12.33689	1.425814	0.04537316
10400	-300.2494	-286.8458	-13.4036	1.557951	0.02188359
10600	-300.7995	-283.695	-17.10444	1.833048	0.1150886
10800	-301.9871	-285.7105	-16.27667	1.836725	0.03025018
11000	-303.0909	-285.2854	-17.80553	1.793107	0.21513
11200	-301.9007	-288.3164	-13.58439	1.550116	0.04529288
11400	-305.4382	-283.7955	-21.6427	2.173199	0.2262635
11600	-299.4442	-285.0842	-14.36003	1.65357	0.02300443
11800	-300.8912	-285.4796	-15.4116	1.631056	0.1449984
12000	-300.6065	-286.4723	-14.13426	1.603722	0.0475168
12200	-302.5083	-286.7838	-15.72449	1.707675	0.1018361
12400	-301.9997	-288.3118	-13.68786	1.518964	0.08951024
12600	-299.9222	-283.9286	-15.99364	1.770697	0.06831034
12800	-299.9746	-287.0732	-12.90149	1.481907	0.04726727
13000	-300.3818	-286.2297	-14.15209	1.623268	0.03197958
13200	-299.179	-285.4748	-13.70413	1.604385	0.006618642
13400	-299.1942	-284.942	-14.25229	1.653499	0.01220309
13600	-299.788	-285.3228	-14.46521	1.615455	0.07024436
13800	-301.5834	-282.1249	-19.45847	2.163714	0.02279101
14000	-299.4959	-286.3242	-13.17167	1.534332	0.02290611
14200	-300.8947	-288.4506	-12.44406	1.413506	0.07057991
14400	-301.913	-291.2588	-10.65422	1.254017	0.0508294
14600	-300.8601	-283.5215	-17.33857	1.890276	0.08444765
14800	-301.4719	-284.4745	-16.99747	1.90983	0.02909464
15000	-300.8405	-285.1837	-15.65687	1.718389	0.08686283
15200	-303.1939	-287.5952	-15.59869	1.494987	0.2989198
15400	-301.417	-288.3396	-13.07745	1.444701	0.1019891
15600	-300.8035	-286.049	-14.75451	1.689055	0.02628074
15800	-301.765	-285.9988	-15.76622	1.609428	0.1977286
16000	-299.9412	-287.3869	-12.55434	1.489284	0.006635579
16200	-300.3927	-283.7189	-16.67377	1.832394	0.0756716
16400	-300.9501	-286.4623	-14.48782	1.632522	0.05344725
16600	-302.058	-290.0676	-11.99046	1.438131	0.001716606
16800	-303.6759	-285.7561	-17.91983	1.915568	0.1091108
17000	-301.6203	-288.781	-12.83925	1.402607	0.1202453
17200	-299.196	-284.9388	-14.25729	1.660148	0.006287561
17400	-302.004	-287.317	-14.68701	1.517685	0.185412
17600	-302.6142	-284.696	-17.91828	1.927856	0.09908027
17800	-301.624	-287.8964	-13.72755	1.434264	0.1706263
18000	-300.662	-286.4889	-14.17305	1.587341	0.06809461
18200	-304.6667	-282.452	-22.21474	2.310585	0.1489606
18400	-300.4138	-289.0879	-11.32596	1.35132	0.02119429
18600	-299.6754	-283.8453	-15.83015	1.816164	0.007583026
18800	-301.2739	-283.7756	-17.49824	1.927986	0.0620735
19000	-300.5522	-288.6496	-11.90262	1.393355	0.03605327
19200	-301.1553	-283.2954	-17.85995	1.959616	0.06520522
19400	-300.5934	-284.5973	-15.99605	1.728805	0.1087655
19600	-305.4295	-288.6201	-16.80947	1.716271	0.1902699
19800	-300.4014	-286.4672	-13.93423	1.547652	0.08426527
20000	-303.1205	-288.9306	-14.18995	1.640012	0.01907122
20200	-301.5224	-285.4563	-16.06612	1.702955	0.1366731
20400	-301.9016	-286.8442	-15.05736	1.582554	0.159443
20600	-301.9282	-282.8821	-19.04606	2.085513	0.06046954
