Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-299.2365	-270.1664	-29.0701	3.185976	0.1161	0.400603	0.483298	0.224694	0.28449	0.245408	0.245408	0.03147655
200	-300.5414	-270.3962	-30.14516	3.099958	0.130219	0.288235	0.581546	0.311191	0.326957	0.180926	0.180926	0.2271269
400	-306.1086	-274.4726	-31.63599	3.053707	0.115895	0.309893	0.574212	0.272189	0.311435	0.208188	0.208188	0.425547
600	-302.192	-267.4813	-34.71072	3.577157	0.0988945	0.289913	0.611193	0.254354	0.302399	0.221624	0.221624	0.200269
800	-301.654	-280.2702	-21.38384	2.424624	0.189058	0.465688	0.345254	0.28875	0.318717	0.196267	0.196267	0.02293322
1000	-298.9456	-272.6226	-26.32299	2.832594	0.144717	0.308687	0.546595	0.319179	0.329453	0.175684	0.175684	0.1073609
1200	-301.5712	-274.6614	-26.90973	2.931862	0.138923	0.332109	0.528969	0.294933	0.321171	0.191948	0.191948	0.06937521
1400	-300.2545	-280.0287	-20.2258	2.283485	0.170249	0.408676	0.421075	0.294078	0.32084	0.192541	0.192541	0.0479212
1600	-297.9991	-271.2653	-26.73375	2.929355	0.144726	0.3422	0.513073	0.297224	0.322045	0.190366	0.190366	0.05413361
1800	-299.8261	-276.2783	-23.54773	2.653981	0.178315	0.411062	0.410623	0.302548	0.324	0.186726	0.186726	0.01070138
2000	-302.5724	-285.2729	-17.29953	2.034498	0.14221	0.483578	0.374211	0.22725	0.28618	0.243285	0.243285	0.005426592
2200	-299.4843	-276.2711	-23.21322	2.620626	0.150323	0.368922	0.480755	0.289503	0.319024	0.195736	0.195736	0.01052116
2400	-299.0343	-278.5028	-20.53142	2.356137	0.145954	0.427056	0.42699	0.254714	0.302594	0.221346	0.221346	0.007012159
2600	-302.6395	-277.8303	-24.80925	2.783621	0.171357	0.48886	0.339783	0.259546	0.305161	0.217646	0.217646	0.007094931
2800	-300.9935	-277.7336	-23.25995	2.478398	0.14066	0.285948	0.573392	0.329718	0.332407	0.168937	0.168937	0.1548374
3000	-301.5766	-277.6773	-23.89932	2.607201	0.13072	0.381525	0.487754	0.255191	0.302852	0.220979	0.220979	0.08948726
3200	-303.1566	-279.3904	-23.76627	2.349677	0.138976	0.441929	0.419095	0.23924	0.293735	0.233512	0.233512	0.3344249
3400	-300.1117	-275.759	-24.35269	2.609161	0.168468	0.388757	0.442775	0.302333	0.323923	0.186872	0.186872	0.1333641
3600	-303.0618	-275.2549	-27.8069	2.787908	0.162069	0.41362	0.42431	0.281522	0.315667	0.201405	0.201405	0.2935229
3800	-301.7911	-271.7069	-30.08414	3.191966	0.167234	0.366599	0.466167	0.31327	0.327628	0.179551	0.179551	0.1244479
