Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-302.3439	-292.1366	-10.20729	1.23229	0.02775171
200	-301.2617	-290.2554	-11.00622	1.334899	0.006264862
400	-305.4126	-290.1269	-15.28573	1.385363	0.3540498
600	-300.0079	-284.8397	-15.16817	1.724684	0.03196028
800	-301.8963	-284.6575	-17.23882	1.927254	0.03706724
1000	-302.4314	-288.0592	-14.37219	1.630495	0.04429401
1200	-303.4977	-291.4436	-12.05412	1.26257	0.1740711
1400	-303.7034	-288.1096	-15.59381	1.518027	0.2635561
1600	-301.4094	-287.3202	-14.08915	1.584359	0.0658344
1800	-303.5068	-288.1072	-15.39957	1.550881	0.2115523
2000	-302.8984	-286.4826	-16.41581	1.782451	0.099598
2200	-300.3337	-287.6689	-12.6648	1.46799	0.0382643
2400	-299.6885	-283.436	-16.25244	1.855985	0.009860771
2600	-303.0578	-284.4965	-18.56131	1.841729	0.242767
2800	-300.232	-286.5949	-13.63713	1.53515	0.06701648
3000	-302.2074	-286.3342	-15.8732	1.579941	0.2356068
3200	-300.3213	-288.1303	-12.191	1.409017	0.04978213
3400	-302.3151	-291.4249	-10.89013	1.305374	0.02272082
3600	-303.3542	-289.8276	-13.52667	1.530836	0.05994658
3800	-301.4067	-284.3064	-17.10032	1.920891	0.02844919
4000	-300.9473	-287.1656	-13.78173	1.512397	0.1043843
4200	-299.5452	-285.7895	-13.75565	1.581634	0.03402718
4400	-301.1238	-285.5227	-15.60104	1.652133	0.1450049
4600	-303.6669	-291.1123	-12.55457	1.464905	0.0299051
4800	-300.884	-286.3777	-14.5063	1.666521	0.02323298
5000	-300.7481	-284.8215	-15.92669	1.745232	0.08532486
5200	-304.8686	-285.6707	-19.19788	2.000186	0.1483702
5400	-301.1207	-284.7061	-16.4146	1.762789	0.1141273
5600	-300.3969	-282.971	-17.42596	1.934301	0.04846578
5800	-304.2945	-291.5019	-12.79263	1.466888	0.04964927
6000	-301.3135	-289.2006	-12.11284	1.446741	0.004944312
6200	-299.6438	-286.6215	-13.02231	1.537554	0.005216587
6400	-300.3504	-284.5888	-15.76154	1.759337	0.05750644
6600	-299.9304	-285.9605	-13.96982	1.626257	0.01139581
6800	-302.9927	-287.1879	-15.80478	1.714578	0.102026
7000	-300.9114	-290.0361	-10.87529	1.300381	0.02681007
7200	-304.6227	-295.8398	-8.782943	1.100197	0.0177778
7400	-304.6001	-283.7731	-20.82699	2.203475	0.1137996
7600	-305.8114	-281.4286	-24.38282	2.479093	0.2016263
7800	-299.6954	-284.6648	-15.03065	1.692129	0.05079543
8000	-301.4905	-283.004	-18.48647	1.960055	0.1267824
8200	-303.1049	-288.1431	-14.96184	1.514597	0.2059114
8400	-300.1054	-286.3655	-13.73983	1.567491	0.04510518
8600	-301.3859	-284.6767	-16.70927	1.816102	0.09082498
8800	-301.7815	-286.8805	-14.90097	1.527275	0.194509
9000	-304.0483	-285.8603	-18.18801	2.053134	0.005934682
9200	-300.7879	-283.4179	-17.37005	1.89842	0.07940491
9400	-303.1227	-288.6048	-14.51794	1.572655	0.115535
9600	-302.8784	-285.5845	-17.29394	1.707826	0.2533469
9800	-301.5349	-290.2741	-11.26081	1.335381	0.02959292
10000	-300.6584	-286.9179	-13.74053	1.481237	0.1295676
10200	-300.9866	-288.3973	-12.58933	1.421617	0.07378151
10400	-303.2274	-283.2933	-19.93409	2.11913	0.112061
10600	-300.8274	-285.4346	-15.39283	1.654435	0.1210285
10800	-300.6176	-284.6798	-15.93781	1.78981	0.04266257
11000	-299.7925	-286.054	-13.73851	1.560054	0.05281945
11200	-300.3724	-283.1508	-17.22154	1.899619	0.06296424
11400	-300.1065	-285.0039	-15.10255	1.73946	0.01104469
11600	-306.7742	-285.4945	-21.27967	1.851136	0.5108644
11800	-300.51	-286.1708	-14.33921	1.580276	0.09309855
