Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
13200	-292.5323	-274.2119	-18.32035	2.127487	0.202506	0.0359759	0.761518	0.01417254
13400	-297.2739	-273.3662	-23.90764	2.575339	0.185286	0.225465	0.589249	0.1235525
13600	-292.692	-274.2014	-18.49061	2.152714	0.199956	0.0107152	0.789329	0.006242175
13800	-295.126	-279.067	-16.05894	1.844362	0.230118	0.0672393	0.702643	0.06972622
14000	-294.8737	-281.9489	-12.92483	1.597773	0.259074	0.0443401	0.696586	0.004609509
14200	-296.8251	-282.8611	-13.964	1.583314	0.248597	0.0544197	0.696983	0.1189421
14400	-294.4057	-278.5242	-15.8815	1.719278	0.24067	0.0284097	0.73092	0.1735818
14600	-295.0454	-273.0274	-22.01805	2.404366	0.153379	0.0294484	0.817173	0.1049247
14800	-296.1902	-280.8369	-15.35327	1.512292	0.251031	0.000921761	0.748047	0.3206131
15000	-295.6358	-272.1207	-23.51509	2.603165	0.147393	0.0313569	0.82125	0.0574433
15200	-293.8758	-275.4295	-18.44623	2.05808	0.185784	0.0207994	0.793417	0.09435039
15400	-296.6285	-279.3644	-17.26406	2.012932	0.229975	0.173827	0.596198	0.02293201
15600	-296.2688	-273.8519	-22.41692	2.476009	0.217024	0.0522576	0.730718	0.07422687
15800	-295.8231	-277.6411	-18.18206	2.106409	0.18408	0.10184	0.71408	0.02152608
16000	-296.1606	-270.124	-26.0366	2.869074	0.153458	0.125912	0.72063	0.043804
16200	-294.9704	-280.2582	-14.71218	1.631577	0.274361	0.0120463	0.713593	0.1436217
16400	-294.6362	-274.0119	-20.62436	2.121231	0.214369	0.0217844	0.763847	0.244205
16600	-295.9375	-277.8295	-18.10797	2.084894	0.22257	0.00152927	0.775901	0.03563008
16800	-297.6139	-272.9897	-24.62422	2.719359	0.187591	0.317428	0.49498	0.05260553
17000	-295.7322	-282.322	-13.4102	1.635559	0.282719	0.0499639	0.667317	0.0151853
17200	-298.6308	-277.8607	-20.77013	1.972737	0.227858	0.0887647	0.683377	0.4008891
17400	-293.741	-279.7655	-13.97544	1.641268	0.240873	0.0309267	0.7282	0.0639876
17600	-297.0088	-280.0405	-16.96825	1.885476	0.194376	0.0311229	0.774502	0.1154603
17800	-297.1367	-278.7492	-18.38744	2.101727	0.148719	0.0513877	0.799893	0.04575524
18000	-296.91	-276.8223	-20.08768	1.910271	0.212863	0.0427116	0.744425	0.3956182
18200	-298.0111	-272.1537	-25.85738	2.725734	0.187221	0.0511707	0.761609	0.1669576
