Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-303.469	-288.0506	-15.41834	1.608662	0.1645124
200	-302.6486	-285.6836	-16.96501	1.74322	0.1882516
400	-300.9319	-286.1049	-14.82707	1.655637	0.06589799
600	-301.0443	-288.4649	-12.57946	1.484582	0.01348159
800	-301.9987	-289.2501	-12.74857	1.425673	0.08797899
1000	-304.2191	-285.0441	-19.17501	2.119217	0.03735287
1200	-301.4077	-289.016	-12.39166	1.464799	0.01438842
1400	-303.6346	-288.7014	-14.9332	1.604055	0.1239894
1600	-306.2355	-288.0915	-18.14402	1.881206	0.1675069
1800	-303.279	-288.4235	-14.85554	1.711629	0.01388991
2000	-301.8987	-286.3176	-15.58118	1.683092	0.1109854
2200	-302.3045	-286.7579	-15.54663	1.753093	0.04229919
2400	-300.5185	-285.4858	-15.03272	1.733952	0.009890682
2600	-301.8669	-287.3431	-14.52381	1.663059	0.0285882
2800	-302.3188	-287.0151	-15.3037	1.718977	0.04874805
3000	-301.6668	-285.5781	-16.0887	1.843088	0.00650548
3200	-310.0458	-286.3187	-23.72715	1.865347	0.6945671
3400	-303.4663	-285.9806	-17.48568	1.855002	0.1262388
3600	-304.2455	-287.1765	-17.06898	1.72461	0.2115609
3800	-302.2812	-288.6111	-13.6701	1.535159	0.0700619
4000	-301.8563	-284.2524	-17.60389	1.961944	0.03823939
4200	-304.0625	-290.6975	-13.36496	1.496956	0.07452064
4400	-305.8959	-283.1568	-22.73914	2.326209	0.1864428
4600	-300.4164	-285.5465	-14.86996	1.715498	0.01208442
4800	-303.3239	-286.0105	-17.31334	1.79799	0.1678948
5000	-304.0343	-285.6305	-18.40379	1.987961	0.08891806
5200	-301.6016	-287.747	-13.8546	1.611876	0.01434852
5400	-303.2785	-289.3019	-13.9766	1.613509	0.02277603
5600	-306.4583	-293.3837	-13.07456	1.525849	0.02102493
5800	-302.2505	-284.4565	-17.79399	1.992327	0.0277448
6000	-301.9093	-289.8401	-12.06923	1.434948	0.01201822
6200	-301.0504	-285.0092	-16.04121	1.829504	0.01491421
6400	-301.4533	-286.464	-14.98936	1.724234	0.01488655
6600	-300.4872	-286.2266	-14.26065	1.664892	0.001920307
6800	-301.2263	-284.9975	-16.22884	1.778083	0.0843768
7000	-304.1044	-290.2202	-13.88426	1.555976	0.0709016
7200	-301.4343	-286.9066	-14.52766	1.6427	0.05073864
7400	-303.1802	-288.191	-14.98924	1.558505	0.1700016
7600	-300.6017	-287.8177	-12.78397	1.501272	0.01735775
7800	-305.7127	-289.0323	-16.68042	1.579161	0.3042292
8000	-303.5067	-289.0139	-14.49274	1.650743	0.03715302
8200	-303.6033	-289.2595	-14.34382	1.619367	0.05355515
8400	-301.6526	-288.1949	-13.45775	1.471329	0.1117547
8600	-301.1627	-286.1885	-14.97419	1.719419	0.01855004
8800	-301.3823	-286.9816	-14.40069	1.675891	0.004864259
9000	-300.9328	-286.3163	-14.61655	1.649465	0.05134313
9200	-305.5375	-285.7022	-19.83537	2.223099	0.001250509
9400	-302.2332	-286.2465	-15.98663	1.803144	0.03431207
9600	-301.3058	-288.4598	-12.84598	1.497496	0.02720593
9800	-303.8837	-286.3337	-17.54996	1.967514	0.02712017
10000	-301.266	-287.6526	-13.6134	1.563508	0.03715015
10200	-301.9228	-289.3995	-12.52331	1.454548	0.03653225
10400	-306.3629	-283.3991	-22.96376	2.530775	0.00651561
10600	-302.253	-288.562	-13.69104	1.601327	0.008242701
10800	-300.8936	-287.3705	-13.5231	1.549986	0.04190228
11000	-307.5491	-285.7352	-21.81395	2.056065	0.3390853
11200	-304.6449	-285.6132	-19.03169	1.926512	0.2198532
11400	-303.8959	-283.9619	-19.93399	2.08907	0.146475
11600	-301.6151	-289.0027	-12.61243	1.476357	0.02540692
11800	-303.0967	-284.769	-18.32773	1.90808	0.1601753
12000	-302.0669	-288.2627	-13.80416	1.493906	0.1252313
12200	-301.8484	-287.4847	-14.36368	1.667793	0.008744167
12400	-302.8377	-287.0761	-15.76164	1.578897	0.2290436
12600	-301.8242	-286.1414	-15.6828	1.731763	0.07508419
12800	-305.5888	-289.0687	-16.52008	1.840861	0.04857367
13000	-302.5873	-288.6746	-13.91274	1.460509	0.1689252
13200	-304.6876	-292.1999	-12.48764	1.325465	0.1617623
13400	-301.5947	-286.4603	-15.13441	1.711177	0.04081101
13600	-303.1094	-289.6823	-13.42704	1.547158	0.03573509
13800	-302.7999	-286.1158	-16.68408	1.909108	9.176602e-05
14000	-304.4466	-291.7856	-12.66099	1.4654	0.038268
14200	-303.2351	-285.9025	-17.33263	1.905644	0.06969961
14400	-301.604	-288.4705	-13.13347	1.50875	0.0428399
14600	-303.7562	-284.6738	-19.08243	1.978381	0.1650929
14800	-304.0081	-294.1449	-9.86324	1.211507	0.01501289
15000	-302.2927	-290.6121	-11.68058	1.33544	0.07165992
15200	-303.1905	-287.5564	-15.63411	1.535688	0.2614999
15400	-301.1159	-285.3188	-15.79715	1.747509	0.07195198
15600	-303.6557	-289.6801	-13.97565	1.521565	0.1146478
15800	-301.0956	-286.8929	-14.20266	1.631935	0.02851135
16000	-303.1462	-285.6863	-17.45993	1.716238	0.2657013
16200	-302.9835	-291.5739	-11.40959	1.308075	0.07226993
16400	-308.2541	-288.4034	-19.85075	1.640307	0.5638246
16600	-301.3738	-286.4227	-14.95114	1.725147	0.01018501
16800	-301.9979	-287.0636	-14.93421	1.584398	0.1435193
17000	-305.1263	-287.7792	-17.34716	1.544967	0.4074452
17200	-306.0124	-293.035	-12.97738	1.495557	0.04058326
17400	-301.0809	-286.6371	-14.44374	1.683097	0.002024182
17600	-302.3884	-285.7495	-16.63894	1.836897	0.0659173
17800	-300.9747	-287.6932	-13.28148	1.568296	0.000636561
18000	-308.8915	-287.6251	-21.26638	2.103647	0.2456465
18200	-301.7014	-288.4237	-13.2777	1.517963	0.04777002
18400	-303.3824	-286.0542	-17.32821	1.690718	0.2773607
18600	-306.357	-295.5319	-10.82515	1.280812	0.04045336
18800	-303.8194	-290.9426	-12.87685	1.409809	0.1104926
19000	-304.1851	-290.2075	-13.97756	1.521313	0.1114479
19200	-307.6876	-293.8586	-13.82898	1.439486	0.1729938
19400	-302.9407	-288.7824	-14.15837	1.648655	0.007682539
19600	-303.9334	-285.9481	-17.98529	2.006672	0.03101884
19800	-301.9127	-286.8227	-15.08997	1.652608	0.09657009
20000	-301.568	-286.9287	-14.63924	1.598411	0.1027195
20200	-304.1426	-285.2038	-18.93876	1.976429	0.1500877
20400	-300.9926	-285.6251	-15.36746	1.718165	0.05893492
20600	-301.9298	-286.0288	-15.90104	1.660659	0.1655534
20800	-302.2947	-286.5965	-15.69821	1.62333	0.1840735
21000	-305.9106	-286.0382	-19.8724	1.913349	0.2955731
21200	-302.9082	-286.0645	-16.84371	1.921836	0.003171854
21400	-301.3886	-285.9075	-15.48115	1.710325	0.0777566
21600	-303.5149	-286.466	-17.04892	1.817332	0.123777
21800	-302.7447	-285.0249	-17.71987	1.802583	0.2069078
22000	-302.9558	-286.076	-16.87979	1.904366	0.02323364
22200	-302.9686	-286.5735	-16.39511	1.662839	0.2076451
22400	-301.7167	-289.5675	-12.14923	1.422318	0.03187683
22600	-303.7175	-287.7421	-15.9754	1.810285	0.02556803
22800	-301.6259	-288.4726	-13.15328	1.481005	0.07128253
23000	-301.2488	-285.4588	-15.78999	1.72511	0.0935945
23200	-301.5146	-284.3397	-17.17484	1.936571	0.02126084
23400	-304.6328	-293.3416	-11.29119	1.255689	0.1109322
23600	-301.4216	-288.0357	-13.38596	1.497282	0.07866335
23800	-302.1868	-290.8329	-11.35384	1.349148	0.02607517
24000	-300.4873	-285.8679	-14.61937	1.677168	0.02518383
24200	-303.9648	-292.3057	-11.65912	1.254793	0.1467006
24400	-302.1743	-288.2364	-13.93793	1.631094	0.003517772
24600	-302.1785	-288.7497	-13.42881	1.544876	0.0363628
24800	-304.8795	-287.416	-17.46353	1.885962	0.09237852
25000	-301.977	-287.9386	-14.03842	1.511437	0.1293177
25200	-304.6765	-285.9279	-18.74861	1.974756	0.1343159
25400	-303.6895	-290.8781	-12.81142	1.425855	0.08858108
25600	-301.0864	-285.0656	-16.02074	1.834999	0.00762228
25800	-302.9853	-287.11	-15.87526	1.719123	0.107397
26000	-304.6714	-289.6809	-14.99055	1.663093	0.07335092
26200	-300.4248	-285.3607	-15.06415	1.733701	0.0132202
26400	-301.1605	-286.8774	-14.28308	1.585479	0.08228774
26600	-302.9362	-291.6538	-11.28233	1.344099	0.02406966
26800	-302.9101	-292.3675	-10.54261	1.282525	0.01175527
