Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-285.1234	-281.8023	-3.321183	0.5922891	0.00554648	0.395934	0.042991	0.555528	0.153871
200	-285.2922	-284.1667	-1.125519	0.5222575	0.0141569	0.0399921	0.143735	0.802116	0.009472183
400	-289.5989	-284.1898	-5.409126	0.5866325	0.114136	0.113334	0.632211	0.140319	0.3591143
600	-284.1956	-281.0523	-3.143316	0.6534825	0.0182671	0.0083871	0.620901	0.352444	0.0789565
800	-285.0586	-281.3624	-3.696191	0.748262	0.0411331	0.118088	0.0564116	0.784368	0.03999671
1000	-288.8738	-285.5837	-3.290179	0.5427299	0.090224	0.514209	0.274153	0.121414	0.2005071
1200	-283.3962	-281.2973	-2.098857	0.5928405	0.00629242	0.244329	0.406475	0.342904	0.03535289
1400	-283.5967	-281.4484	-2.148301	0.6272169	0.0161275	0.234518	0.423482	0.325873	0.007328224
1600	-290.9457	-285.5956	-5.350115	0.8147016	0.131585	0.590176	0.11866	0.159579	0.1427257
1800	-284.5409	-282.2029	-2.337923	0.541917	0.0327837	0.0228323	0.751242	0.193142	0.1046639
2000	-287.7846	-286.1832	-1.601424	0.4683854	0.0280765	0.328356	0.197	0.446569	0.1070731
2200	-284.575	-282.4665	-2.108536	0.619564	0.0111994	0.215221	0.0568481	0.716732	0.01048407
2400	-284.216	-281.5668	-2.649162	0.601648	0.0286284	0.0293027	0.541813	0.400256	0.07885742
2600	-284.2954	-281.4626	-2.832813	0.6446586	0.0135359	0.33306	0.107319	0.546086	0.05645127
2800	-287.6412	-282.0669	-5.574294	0.8145232	0.0591855	0.0539357	0.365136	0.521743	0.1604584
3000	-283.9397	-280.6715	-3.268166	0.6508882	0.00627711	0.0221922	0.950459	0.0210721	0.09274624
3200	-284.479	-282.1401	-2.338914	0.5969821	0.0212135	0.201181	0.20159	0.576015	0.05314806
3400	-285.1377	-281.2423	-3.895413	0.7757491	0.00266692	0.357737	0.167726	0.47187	0.03278812
3600	-287.5817	-285.2901	-2.291593	0.6095403	0.0502864	0.622056	0.0851167	0.242541	0.03833475
3800	-284.379	-282.0243	-2.354713	0.6263257	0.00526078	0.387388	0.472978	0.134373	0.02798468
4000	-285.2316	-281.2527	-3.978851	0.7068793	0.022639	0.373871	0.377835	0.225655	0.1068679
4200	-283.5673	-281.969	-1.598303	0.5596268	0.00510597	0.459264	0.402901	0.132729	0.0191308
4400	-286.2926	-285.3454	-0.9472102	0.499522	0.0154377	0.584385	0.27685	0.123327	0.01398547
4600	-283.7463	-282.637	-1.109279	0.5219154	0.0130839	0.242296	0.69279	0.0518303	0.008540815
4800	-284.7621	-283.7745	-0.9875712	0.4875113	0.0163338	0.0963562	0.836273	0.0510374	0.02952627
5000	-285.336	-282.5711	-2.764907	0.6643085	0.0153261	0.00937003	0.0665287	0.908775	0.03025582
5200	-288.1194	-284.3604	-3.758952	0.6740655	0.103774	0.0553713	0.314479	0.526376	0.1211446
5400	-285.128	-281.1772	-3.950846	0.6399464	0.0158017	0.0368375	0.868281	0.0790802	0.1686042
5600	-287.4292	-281.6054	-5.823835	0.6619679	0.0166926	0.399946	0.0144021	0.568959	0.3273597
5800	-285.5526	-283.9064	-1.646249	0.5689982	0.0257055	0.146377	0.771354	0.0565632	0.01507842
6000	-284.3733	-282.5283	-1.845076	0.5955873	0.0564026	0.135522	0.451847	0.356228	0.00851973
6200	-283.3079	-280.6601	-2.647856	0.6718819	0.00910661	0.00394325	0.106241	0.880709	0.01218528
6400	-283.7055	-282.0331	-1.672305	0.5505893	0.0044146	0.0673784	0.210883	0.717324	0.0354116
6600	-284.0778	-282.7268	-1.351023	0.5474431	0.0211393	0.471508	0.455634	0.0517184	0.007236578
6800	-286.8749	-282.3275	-4.547367	0.8645692	0.0814723	0.0147567	0.165893	0.737878	0.01004388
7000	-287.7373	-281.5528	-6.18448	0.7862944	0.00502933	0.179305	0.445159	0.370507	0.2524289
7200	-284.782	-281.12	-3.662071	0.7420852	0.00473652	0.0506126	0.238924	0.705727	0.04216436
7400	-291.7635	-284.9436	-6.819912	0.7182921	0.108643	0.799564	0.0173739	0.0744193	0.3886869
7600	-286.2479	-282.1881	-4.059802	0.6451722	0.0216532	0.453763	0.496241	0.028343	0.1774372
7800	-292.6556	-288.6492	-4.006376	0.5337113	0.0638022	0.305628	0.344253	0.286317	0.2703954
8000	-284.3734	-282.5694	-1.804045	0.578172	0.0224575	0.165896	0.129583	0.682064	0.02077084
8200	-287.7367	-282.6325	-5.104248	0.7214303	0.0584918	0.0131866	0.145934	0.782388	0.2024787
8400	-289.9752	-286.615	-3.360212	0.7117359	0.20199	0.311082	0.435931	0.0509965	0.04261673
8600	-288.8763	-285.0822	-3.794072	0.576555	0.0412974	0.0271778	0.213624	0.717901	0.2047801
8800	-292.5645	-287.8389	-4.725543	0.6815888	0.0324034	0.193556	0.745823	0.0282175	0.1966317
9000	-282.7421	-280.9834	-1.758737	0.5822695	0.00733868	0.021498	0.730491	0.240672	0.01274109
9200	-283.9764	-280.9005	-3.075979	0.6399415	0.0236468	0.0371193	0.457069	0.482165	0.08340886
9400	-287.1193	-283.0912	-4.028079	0.7111698	0.0169616	0.355286	0.383383	0.244369	0.11119
9600	-284.5037	-281.7595	-2.744204	0.5783253	0.0223839	0.282441	0.668287	0.0268879	0.1097825
9800	-285.5252	-283.2254	-2.29979	0.6427992	0.0325169	0.222355	0.21744	0.527689	0.006902113
10000	-285.3658	-282.7483	-2.617479	0.6722005	0.0156847	0.0129232	0.138006	0.833386	0.008909912
10200	-283.784	-281.0278	-2.756132	0.6955051	0.0242734	0.096831	0.781382	0.0975132	7.501024e-05
10400	-283.8145	-281.7535	-2.060939	0.6241565	0.0502997	0.0918501	0.662491	0.195359	0.00181847
10600	-283.1017	-281.1727	-1.929055	0.609949	0.00574022	0.0634256	0.148426	0.782408	0.002825831
10800	-283.4616	-281.5261	-1.93552	0.609271	0.00193862	0.601583	0.108939	0.28754	0.004050032
11000	-288.4117	-285.1759	-3.235862	0.6512916	0.0133137	0.1439	0.577085	0.265701	0.0906486
11200	-286.6235	-282.3789	-4.244631	0.7949278	0.0756452	0.13766	0.573357	0.213338	0.04855666
11400	-286.5355	-283.5456	-2.989962	0.6022751	0.00990213	0.00863888	0.447134	0.534325	0.1120401
11600	-289.2131	-285.4638	-3.749248	0.6828686	0.0276409	0.162906	0.397107	0.412346	0.1049631
11800	-284.7661	-281.1113	-3.654724	0.6184357	0.00188466	0.0685668	0.419888	0.509661	0.1620194
12000	-286.0752	-285.0884	-0.9868364	0.4885324	0.00339941	0.0226985	0.00573978	0.968162	0.02887191
12200	-286.103	-281.4071	-4.695909	0.6048432	0.00216352	0.461277	0.149601	0.386958	0.2715914
12400	-285.5421	-284.8764	-0.6657044	0.4603465	0.0454637	0.054291	0.281194	0.619051	0.02409283
12600	-286.7366	-283.6582	-3.078457	0.4988425	0.00374856	0.567378	0.251718	0.177155	0.2161048
12800	-290.4735	-286.4454	-4.028052	0.5014144	0.00297393	0.041334	0.520792	0.4349	0.3034418
13000	-284.7799	-281.0418	-3.738108	0.6526532	0.00758546	0.284869	0.591073	0.116473	0.1353384
13200	-283.0981	-280.7744	-2.323737	0.632874	0.00692419	0.14961	0.0648646	0.778601	0.01866801
13400	-284.8781	-281.18	-3.698074	0.7056918	0.0221999	0.204973	0.376741	0.396086	0.08125611
13600	-289.446	-287.3783	-2.067697	0.6054841	0.0404696	0.116107	0.540111	0.303312	0.01985909
13800	-286.3135	-282.3111	-4.002459	0.6450598	0.0485503	0.0185482	0.122538	0.810364	0.164653
14000	-285.4918	-281.3166	-4.175128	0.7688351	0.00372658	0.662131	0.291172	0.0429697	0.06626048
14200	-285.8806	-281.0805	-4.800159	0.5820317	0.00989838	0.0555533	0.557781	0.376767	0.3009786
14400	-285.6955	-284.3582	-1.337306	0.5149395	0.0660955	0.232742	0.383031	0.318131	0.03624698
14600	-287.6341	-284.7743	-2.859863	0.6127259	0.140546	0.189126	0.642353	0.0279759	0.08807812
14800	-283.568	-280.9948	-2.573233	0.6112721	0.00614965	0.204819	0.716962	0.0720691	0.06288009
15000	-283.5121	-282.0715	-1.440586	0.5501669	0.0333259	0.0233747	0.0795071	0.863792	0.0130064
15200	-288.2031	-286.7468	-1.456288	0.5602738	0.110106	0.679041	0.190742	0.0201108	0.005198033
15400	-285.73	-282.6695	-3.060438	0.6326085	0.0527029	0.508984	0.0220799	0.416234	0.08839085
15600	-289.7636	-284.5944	-5.169133	0.6243736	0.00396222	0.633311	0.00332114	0.359405	0.3086467
15800	-286.4391	-283.5592	-2.879885	0.6701226	0.0341372	0.569873	0.290873	0.105117	0.03683945
16000	-284.6913	-282.5959	-2.095355	0.6130498	0.0682248	0.186496	0.54578	0.199499	0.01575453
16200	-287.2022	-282.9258	-4.276388	0.8433379	0.0938725	0.132938	0.48767	0.285519	0.004307138
16400	-284.5849	-282.7476	-1.837259	0.5987435	0.0535168	0.318269	0.406661	0.221553	0.004748174
