Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
20000	-329.7286	-311.3054	-18.42315	2.069287	0.01336688
20200	-331.6445	-309.5136	-22.13098	2.257364	0.1930515
20400	-330.1991	-311.2195	-18.97951	2.094079	0.04353178
20600	-332.3873	-309.4679	-22.91943	2.390879	0.1369222
20800	-332.6662	-312.1134	-20.55282	2.126026	0.1614871
21000	-331.5357	-312.382	-19.1537	2.102306	0.05278081
21200	-330.2777	-313.7349	-16.54282	1.891714	0.003225236
21400	-331.3962	-308.8034	-22.59279	2.497035	0.00298404
21600	-333.2631	-308.5257	-24.73746	2.37123	0.3337487
21800	-331.7912	-312.875	-18.91617	2.131119	0.0012766
22000	-332.6329	-313.7841	-18.8488	1.949888	0.166743
22200	-333.5395	-313.5309	-20.00861	1.937854	0.291245
22400	-329.5644	-310.1857	-19.37875	2.173416	0.005108111
22600	-330.899	-311.1212	-19.77787	2.163014	0.05539921
22800	-332.5871	-313.3868	-19.20025	2.123322	0.03598385
23000	-332.4212	-307.9849	-24.43631	2.551941	0.1285183
23200	-330.139	-313.0526	-17.08642	1.924111	0.02453261
23400	-333.092	-315.5755	-17.51652	1.882837	0.109722
23600	-330.8761	-310.0848	-20.79136	2.295089	0.02454116
23800	-331.8363	-309.3598	-22.47649	2.318479	0.1687007
24000	-330.4313	-309.0464	-21.38493	2.354555	0.0242089
24200	-332.2922	-310.717	-21.57515	2.219187	0.172948
24400	-330.103	-310.8807	-19.22237	2.157434	0.005355698
24600	-332.5694	-314.3115	-18.25789	1.856514	0.2032211
24800	-332.7968	-312.4193	-20.37745	2.099037	0.1753894
25000	-332.4426	-308.8009	-23.64171	2.373913	0.2271517
25200	-330.2218	-312.0395	-18.18228	2.036628	0.02209954
25400	-330.9786	-313.7951	-17.18344	1.930081	0.02867542
25600	-330.7916	-307.9854	-22.80626	2.4687	0.05176639
25800	-330.4082	-308.0537	-22.3545	2.448268	0.02715063
26000	-330.0273	-310.941	-19.08631	2.111598	0.03641334
26200	-330.5755	-312.3193	-18.25619	2.02434	0.04058154
26400	-330.1409	-312.7663	-17.37453	1.954011	0.02340666
26600	-336.2141	-310.9185	-25.29558	2.21995	0.5372847
26800	-330.6295	-311.3647	-19.26488	2.096951	0.06793917
27000	-331.3591	-307.948	-23.41114	2.497384	0.08226711
27200	-333.7327	-306.7692	-26.96358	2.850051	0.0859101
27400	-330.8106	-309.4337	-21.37689	2.369246	0.009039803
27600	-333.2416	-311.8298	-21.41178	2.370463	0.0110419
27800	-329.6802	-310.5714	-19.10882	2.12942	0.02161609
28000	-332.7102	-309.0655	-23.64463	2.395884	0.2043418
28200	-332.5908	-315.9133	-16.67749	1.752878	0.1496165
28400	-330.027	-309.5202	-20.50685	2.27673	0.0146124
28600	-333.8877	-315.0496	-18.8381	1.826938	0.2887905
28800	-330.9313	-313.6081	-17.32321	1.924793	0.04711271
29000	-329.9335	-311.4296	-18.50385	2.04762	0.04221099
29200	-330.2918	-309.3543	-20.93757	2.286561	0.04682467
29400	-331.7264	-307.3443	-24.38211	2.674318	0.004633605
29600	-331.4732	-310.1959	-21.2773	2.337371	0.03122797
29800	-334.6563	-312.8556	-21.80075	2.048825	0.3708392
30000	-331.4914	-307.0809	-24.41053	2.602855	0.07761991
30200	-330.2538	-309.6714	-20.58244	2.283619	0.01497936
30400	-332.145	-317.5659	-14.57908	1.68262	0.0155962
30600	-330.1723	-308.3675	-21.8048	2.411516	0.009585051
30800	-331.3976	-309.4506	-21.94697	2.325555	0.106694
31000	-331.2769	-311.7212	-19.55569	2.045828	0.1451467
