Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
0	-326.8168	-311.668	-15.14879	1.548354	0.2097093
200	-323.7646	-311.5318	-12.2328	1.342199	0.1232175
400	-328.3281	-321.4301	-6.897981	0.8764045	0.05212086
600	-323.3975	-309.6754	-13.7222	1.486519	0.1273791
800	-324.8699	-312.344	-12.52588	1.236762	0.2604399
1000	-323.6296	-312.6328	-10.99678	1.185457	0.1546758
1200	-325.0937	-311.9751	-13.11859	1.485476	0.06796546
1400	-323.9139	-313.2353	-10.67855	1.203229	0.1048298
1600	-326.2993	-311.9239	-14.3754	1.501032	0.1747635
1800	-328.6151	-309.1857	-19.42946	1.603327	0.5933521
2000	-324.234	-313.6894	-10.54467	1.288215	0.007130409
2200	-325.0656	-315.7944	-9.271222	1.107283	0.05931485
2400	-323.1433	-312.817	-10.32633	1.239921	0.03419487
2600	-323.7787	-314.2725	-9.506179	1.140594	0.05028959
2800	-323.4162	-313.935	-9.481153	1.142553	0.04553409
3000	-324.1497	-310.6709	-13.47886	1.536325	0.05159381
3200	-323.173	-312.9795	-10.19356	1.174583	0.08629475
3400	-325.0555	-312.7513	-12.30418	1.433692	0.03691332
3600	-323.6428	-313.9603	-9.682589	1.118783	0.08981362
3800	-323.7228	-314.7785	-8.944322	1.106292	0.02832999
4000	-326.3848	-316.8122	-9.572568	0.9891011	0.2093104
4200	-322.7022	-309.4358	-13.26643	1.51828	0.0501901
4400	-323.6747	-311.6553	-12.01937	1.389037	0.05536676
4600	-326.165	-311.0619	-15.10319	1.670234	0.07903546
4800	-322.8199	-309.7521	-13.06773	1.498513	0.05000752
5000	-325.3449	-314.4581	-10.88674	1.164392	0.1646811
5200	-324.7077	-310.57	-14.1377	1.543483	0.1086917
5400	-324.4275	-314.6759	-9.751594	1.093363	0.1236663
5600	-324.1356	-308.3267	-15.80891	1.795416	0.02688198
5800	-323.6976	-311.5792	-12.11838	1.275241	0.1771669
6000	-324.4629	-313.99	-10.47296	1.277188	0.01062542
6200	-325.0468	-311.9322	-13.1146	1.39361	0.1569369
6400	-322.6891	-310.265	-12.42415	1.433264	0.05102776
6600	-322.3207	-311.6268	-10.69392	1.262584	0.04779461
6800	-322.8608	-309.2668	-13.59404	1.589398	0.01091403
7000	-324.3894	-314.5011	-9.888338	1.155533	0.07207753
7200	-322.9469	-313.4592	-9.487736	1.140925	0.04840885
7400	-322.8162	-311.784	-11.0322	1.251964	0.09252559
7600	-322.1319	-312.3286	-9.803374	1.207463	0.01377018
7800	-323.1635	-309.5357	-13.6278	1.577906	0.02643874
8000	-325.2083	-308.8692	-16.33911	1.695982	0.1834753
8200	-322.7837	-310.7071	-12.07656	1.436221	0.01212442
8400	-324.76	-309.1723	-15.58768	1.581354	0.220655
8600	-324.8737	-309.601	-15.27269	1.740301	0.02713363
8800	-324.7638	-311.9172	-12.84657	1.490268	0.03462117
9000	-324.5325	-317.1841	-7.348341	0.9641847	0.01140458
9200	-329.0668	-309.9635	-19.10324	2.023383	0.1244852
9400	-324.9883	-313.7028	-11.28547	1.131115	0.2356891
9600	-325.0857	-310.7852	-14.30054	1.669863	0.0009750496
9800	-326.9088	-314.3643	-12.5445	1.460416	0.0340478
10000	-322.2135	-311.777	-10.43649	1.279132	0.005408474
10200	-321.8658	-310.8952	-10.97057	1.336376	0.001483192
10400	-325.8048	-315.2018	-10.60305	1.056612	0.241669
10600	-323.6137	-314.3873	-9.226448	1.149089	0.01402835
10800	-326.1596	-313.9577	-12.20187	1.447795	0.0127822
11000	-324.7382	-310.1242	-14.61406	1.551703	0.1494627
11200	-325.1126	-313.2417	-11.87081	1.323471	0.1021659
11400	-323.1435	-312.457	-10.68647	1.235595	0.07472198
11600	-325.1673	-309.8339	-15.33338	1.605953	0.1665446
11800	-323.705	-315.1156	-8.589478	1.089644	0.009973936
12000	-322.2254	-310.5366	-11.68881	1.396931	0.01278518
12200	-325.0477	-309.4734	-15.57433	1.761342	0.03636081
12400	-322.9109	-309.907	-13.00384	1.462288	0.07998548
12600	-324.7393	-311.2449	-13.49435	1.529463	0.06226688
12800	-326.1872	-310.0182	-16.16907	1.539697	0.3164318
13000	-323.8877	-310.9147	-12.97299	1.345974	0.1917403
13200	-325.1377	-315.5528	-9.584991	1.089734	0.1107202
13400	-327.1926	-318.2579	-8.934692	1.045847	0.08608653
13600	-322.974	-312.2567	-10.71725	1.244135	0.06769855
13800	-322.2821	-310.1384	-12.14371	1.43486	0.02037902
14000	-324.3331	-309.9874	-14.34573	1.539991	0.1397505
14200	-326.5459	-309.2375	-17.30845	1.875522	0.09633772
14400	-325.0606	-315.7195	-9.341062	1.106563	0.06976573
14600	-322.7653	-309.1197	-13.6456	1.555068	0.05108556
14800	-323.1503	-309.8248	-13.32555	1.525147	0.04897925
