Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
0	-709.5996	-692.8452	-16.75448	0.3170564	0.994444	0.000328784	0.0052269	0.01111536
200	-715.5846	-697.1273	-18.4573	0.3199356	0.989101	0.00739334	0.00350611	0.1470157
400	-707.7794	-690.8143	-16.96511	0.3192756	0.99575	0.00194012	0.00230978	0.02610212
600	-711.8561	-694.7297	-17.12637	0.3221901	0.986332	0.0135635	0.000104527	0.0362519
800	-708.9485	-692.499	-16.44954	0.298665	0.998483	0.000760802	0.000755895	0.001342578
1000	-709.0283	-691.4202	-17.6081	0.3020141	0.993107	0.00665256	0.000240371	0.09180383
1200	-711.2466	-693.2022	-18.04437	0.3098482	0.99037	0.00195336	0.00767633	0.1174748
1400	-715.3362	-695.5612	-19.77494	0.347861	0.986845	0.00979628	0.00335826	0.2235822
1600	-718.9963	-701.7651	-17.23112	0.2988403	0.987874	0.00576621	0.00636029	0.0645832
1800	-711.1176	-694.1742	-16.9434	0.3186799	0.994134	0.00203425	0.00383153	0.02510798
2000	-711.8767	-695.0912	-16.78552	0.308555	0.991483	0.00555913	0.00295809	0.02030399
2200	-712.5497	-695.2635	-17.28614	0.2924558	0.989026	0.00977407	0.00119991	0.07335143
2400	-707.7642	-691.3518	-16.41239	0.2824212	0.993007	0.00290586	0.00408679	0.01138451
2600	-716.2905	-698.5954	-17.69507	0.3312326	0.981125	0.0171912	0.00168414	0.07845334
2800	-712.0951	-695.0995	-16.99561	0.3005168	0.993603	0.00610637	0.000290721	0.04399873
3000	-712.3144	-695.6672	-16.64717	0.2926965	0.992528	0.0044478	0.00302384	0.022633
3200	-708.9432	-691.2222	-17.72099	0.3551079	0.999003	0.000114452	0.000882705	0.05745728
3400	-715.4437	-696.3592	-19.08444	0.2642921	0.987273	0.00706282	0.00566424	0.237146
3600	-709.4536	-692.8738	-16.57985	0.3101424	0.993892	0.0016054	0.00450308	0.002589329
3800	-714.3666	-697.1442	-17.22239	0.2839587	0.997442	0.00120452	0.00135395	0.07910506
4000	-710.0227	-692.0178	-18.00495	0.3091681	0.992263	0.0031707	0.00456609	0.1199865
4200	-712.9282	-695.9572	-16.97094	0.2962732	0.989934	0.00839788	0.00166784	0.04503869
4400	-709.7738	-693.1329	-16.64087	0.2827035	0.992227	0.00642436	0.00134875	0.0290758
4600	-710.4059	-691.9421	-18.46377	0.2970467	0.984764	0.00329744	0.0119381	0.1639641
4800	-707.4223	-691.134	-16.28833	0.277548	0.99369	0.00128835	0.0050219	0.00538666
5000	-713.4347	-696.6335	-16.80111	0.3192025	0.996897	0.00187049	0.00123216	0.01307229
5200	-716.2793	-698.8402	-17.43913	0.3313164	0.993896	0.00188097	0.004223	0.05394933
5400	-708.0337	-690.6629	-17.37086	0.2994744	0.994422	0.00154148	0.00403612	0.07446348
5600	-712.7553	-695.7901	-16.96521	0.28693	0.993026	0.00107556	0.00589866	0.05209435
5800	-709.458	-692.8055	-16.65254	0.2967857	0.994991	0.00316369	0.00184518	0.01910775
