Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
0	-294.1644	-282.3376	-11.82678	1.451911	0.0542401	0.00818448	0.844928	0.0926477	0.1436393
200	-294.7842	-283.2241	-11.56013	1.447527	0.02505	0.2222	0.6287	0.124049	0.1198635
400	-291.1506	-279.5019	-11.64866	1.533346	0.0427699	0.0737514	0.168533	0.714946	0.04879102
600	-293.5194	-279.0221	-14.49728	1.764346	0.0661357	0.0104948	0.449986	0.473383	0.1038137
800	-294.1199	-280.8075	-13.31249	1.707862	0.00211014	0.27047	0.613514	0.113906	0.04339224
1000	-290.1129	-277.9448	-12.16811	1.63244	0.0233972	0.0291337	0.774352	0.173117	0.004197346
1200	-288.7035	-278.1528	-10.55067	1.458069	0.00526659	0.0532069	0.701098	0.240429	0.01618274
1400	-298.1081	-283.2796	-14.82846	1.555726	0.0633814	0.172869	0.756712	0.00703804	0.3217323
1600	-290.3376	-279.8854	-10.45212	1.357268	0.0347176	0.0436679	0.58716	0.334455	0.1033054
1800	-291.1181	-279.136	-11.9821	1.529754	0.0284104	0.11553	0.634156	0.221904	0.08436128
2000	-290.8021	-277.6611	-13.14104	1.711315	0.0281043	0.0142719	0.649533	0.308091	0.02194048
2200	-291.5108	-282.792	-8.718827	1.221539	0.0489724	0.0452119	0.731802	0.174014	0.06831652
2400	-291.7576	-282.0646	-9.692958	1.26859	0.0159144	0.177778	0.325276	0.481032	0.1144503
2600	-290.1319	-281.2676	-8.864277	1.302808	0.035751	0.0500484	0.341773	0.572428	0.003361151
2800	-288.3817	-277.7597	-10.62203	1.473023	0.00685218	0.00637131	0.784475	0.202302	0.008802336
3000	-294.4771	-280.7441	-13.73301	1.731017	0.0155602	0.0975254	0.291311	0.595603	0.05866651
3200	-291.3224	-279.6162	-11.7062	1.51605	0.0267577	0.0081015	0.27203	0.693111	0.07146135
3400	-294.2808	-280.0764	-14.20445	1.805543	0.0067273	0.00807282	0.50658	0.478619	0.03421118
3600	-289.7109	-279.1761	-10.5348	1.45304	0.0257199	0.0411093	0.123932	0.809238	0.01941662
3800	-291.0247	-278.231	-12.79377	1.693641	0.034184	0.00560294	0.834959	0.125254	0.005585194
4000	-293.001	-283.3808	-9.620167	1.343456	0.132883	0.0519586	0.627494	0.187664	0.03625616
4200	-291.1475	-282.051	-9.096466	1.259092	0.0479753	0.0560718	0.800144	0.0958085	0.06710505
4400	-293.3513	-282.3431	-11.00815	1.475564	0.0414451	0.000528435	0.14091	0.817117	0.04544507
4600	-292.5877	-283.4324	-9.15534	1.30003	0.0378334	0.159222	0.500033	0.302911	0.03389676
4800	-294.2055	-282.3813	-11.82427	1.506044	0.107346	0.186289	0.53638	0.169985	0.0923342
5000	-290.6406	-278.22	-12.42061	1.602959	0.0173212	0.0525772	0.917569	0.0125326	0.05670942
5200	-291.1529	-278.948	-12.20483	1.60271	0.0662321	0.0373593	0.194968	0.70144	0.03640172
5400	-294.745	-279.2821	-15.46288	1.737445	0.0712791	0.0158966	0.673693	0.239131	0.217706
5600	-290.4848	-278.6334	-11.85143	1.516022	0.0226483	0.00610785	0.857347	0.113897	0.08588015
5800	-289.4852	-278.8126	-10.67259	1.376145	0.000698047	0.00202922	0.504186	0.493087	0.1063922
6000	-296.2073	-278.1757	-18.03158	2.157754	0.0159541	0.0348738	0.790162	0.15901	0.06420503
6200	-290.4727	-283.3089	-7.163826	1.080095	0.00517134	0.0293992	0.598265	0.367165	0.05340595
6400	-291.1318	-281.8332	-9.298608	1.299786	0.0286227	0.128331	0.54059	0.302457	0.04807093
6600	-289.5001	-280.3817	-9.118378	1.263373	0.0383338	0.00605489	0.292104	0.663507	0.06562343
6800	-289.8204	-281.2645	-8.555959	1.266806	0.0418528	0.0160625	0.309758	0.632326	0.008329422
7000	-295.0321	-287.1372	-7.894815	0.9886364	0.0274088	0.00873493	0.84695	0.116906	0.2069737
7200	-289.5017	-277.6545	-11.84721	1.52039	0.00450627	0.0278059	0.670541	0.297147	0.08115948
7400	-289.4039	-281.0755	-8.328366	1.177578	0.00895918	0.000376424	0.111671	0.878993	0.07244687
7600	-290.7642	-281.2884	-9.475793	1.276142	0.0590418	0.0135115	0.783079	0.144367	0.08685066
7800	-294.3663	-282.8301	-11.53617	1.458302	0.0665081	0.0880566	0.18847	0.656965	0.1145489
8000	-291.7508	-281.264	-10.48674	1.420333	0.0837783	0.0328146	0.453634	0.429773	0.04741
8200	-292.2916	-279.2418	-13.04982	1.569614	0.0235859	0.0327773	0.892878	0.0507589	0.1477102
8400	-290.0559	-280.2154	-9.840431	1.390715	0.0141547	0.0329671	0.574996	0.377882	0.01284657
8600	-293.8461	-279.9152	-13.93097	1.646856	0.0241466	0.0362533	0.437753	0.501847	0.1606921
8800	-292.1796	-280.4633	-11.71629	1.545581	0.0255198	0.0220907	0.0562539	0.896136	0.04530951
9000	-290.2801	-280.568	-9.712114	1.197548	0.000324398	0.00743822	0.929895	0.0623421	0.1860245
9200	-293.7341	-281.367	-12.36703	1.622036	0.0184437	0.274578	0.207668	0.49931	0.03227462
9400	-297.9383	-279.9162	-18.02213	1.663138	0.0226105	0.00743393	0.576669	0.393286	0.5193198
9600	-291.6223	-279.8569	-11.76545	1.41193	0.0106865	0.0252456	0.911091	0.0529769	0.1781403
9800	-294.0627	-280.9066	-13.15611	1.654631	0.0249859	0.186324	0.582558	0.206132	0.07801184
10000	-294.9384	-283.0583	-11.88012	1.557017	0.000225427	0.100559	0.338186	0.56103	0.04865317
10200	-292.7476	-283.0065	-9.741034	1.338529	0.0332675	0.0863655	0.773577	0.10679	0.05400056
10400	-295.9717	-279.3634	-16.60825	1.593513	0.0853901	0.0149618	0.84964	0.050008	0.4722465
10600	-292.8808	-281.3285	-11.55222	1.566219	0.004004	0.0362951	0.260953	0.698748	0.008231963
10800	-289.8372	-279.6437	-10.19345	1.3094	0.0283202	0.027567	0.825196	0.118917	0.1231448
11000	-289.8351	-280.4275	-9.407571	1.303765	0.0125268	0.0824213	0.0593012	0.845751	0.05408094
11200	-294.6397	-282.4468	-12.19294	1.603719	0.0402945	0.173107	0.53238	0.254218	0.0349295
11400	-289.0592	-281.1806	-7.878529	1.207549	0.00822899	0.0395568	0.921286	0.0309287	0.000258236
11600	-292.3971	-280.4399	-11.95718	1.528825	0.0062291	0.168065	0.165834	0.659871	0.08133384
11800	-291.242	-279.7634	-11.47862	1.560709	0.0298186	0.0598584	0.85711	0.0532126	0.006670454
12000	-294.2854	-284.1205	-10.16485	1.230789	0.00130823	0.14344	0.628464	0.226788	0.197014
12200	-292.4128	-279.9973	-12.41541	1.535757	0.0011702	0.232465	0.677823	0.088542	0.121907
12400	-290.2375	-279.1545	-11.08303	1.47436	0.0090688	0.136156	0.0350422	0.819733	0.05129849
12600	-292.524	-280.614	-11.91004	1.578865	0.075491	0.108558	0.222938	0.593013	0.03099954
12800	-289.1889	-281.5764	-7.612506	1.161486	0.0174866	0.0218913	0.833048	0.127574	0.01879275
13000	-291.6256	-282.3512	-9.274368	1.234983	0.0303296	0.0424419	0.838429	0.0887999	0.1052673
13200	-289.6526	-279.5178	-10.13479	1.356743	0.0320566	0.00533067	0.950935	0.0116778	0.07305531
13400	-295.9033	-284.9312	-10.97205	1.49154	0.0358678	0.0572369	0.4518	0.455096	0.0253408
13600	-293.4365	-283.4033	-10.03325	1.295066	0.0634315	0.00449459	0.457053	0.475021	0.1253906
