Iteration	Posterior	Likelihood	Prior	branch_rates	speciation_rate
19800	-301.1101	-286.1113	-14.99888	1.73826	0.002306573
20000	-302.155	-285.5259	-16.62916	1.719318	0.1820859
20200	-303.7144	-285.9517	-17.76269	1.926855	0.08442983
20400	-302.0046	-283.6474	-18.35718	2.010621	0.06483957
20600	-308.0433	-284.9321	-23.11121	2.137688	0.3881515
20800	-303.0591	-290.1676	-12.89158	1.392453	0.1348169
21000	-300.9333	-286.3379	-14.59546	1.673074	0.02632157
21200	-301.2755	-286.9763	-14.29923	1.637483	0.03173439
21400	-302.0827	-287.9452	-14.13744	1.599291	0.0519135
21600	-303.5291	-291.6974	-11.83169	1.312337	0.1080214
21800	-303.9987	-284.1876	-19.81113	2.096401	0.1200137
22000	-301.35	-286.4552	-14.89474	1.626203	0.1026
22200	-302.0599	-286.8252	-15.2347	1.651533	0.110839
22400	-301.4184	-287.0672	-14.35123	1.644634	0.03003836
22600	-303.4759	-290.4814	-12.99451	1.372509	0.1604613
22800	-302.2684	-283.4569	-18.81154	2.041521	0.07896063
23000	-303.0077	-286.996	-16.01168	1.57899	0.2575814
23200	-303.4171	-291.2293	-12.18786	1.332726	0.1239193
23400	-305.4731	-288.8531	-16.61994	1.646294	0.2458648
23600	-303.4025	-287.0564	-16.34608	1.731449	0.1339989
23800	-303.2097	-286.7634	-16.44626	1.769502	0.1156741
24000	-301.3564	-286.4934	-14.86292	1.663671	0.0614381
24200	-303.7861	-287.2298	-16.55628	1.78899	0.1032471
24400	-302.891	-290.9309	-11.96009	1.414355	0.0207737
24600	-301.4735	-287.0142	-14.45928	1.627902	0.05643495
24800	-301.9387	-286.3823	-15.55636	1.734675	0.05831144
25000	-305.0321	-283.3014	-21.73074	2.332212	0.07903196
25200	-301.4424	-286.9468	-14.49562	1.685829	0.00431232
25400	-303.2057	-286.6851	-16.52066	1.764353	0.1202562
25600	-301.7432	-284.7413	-17.0019	1.799805	0.1384282
25800	-302.4804	-288.2109	-14.26949	1.522109	0.1423643
26000	-301.3538	-287.2876	-14.06624	1.62026	0.02571668
26200	-302.4488	-287.5488	-14.90002	1.676293	0.05252697
26400	-302.2272	-290.3063	-11.92098	1.389078	0.04276838
26600	-301.848	-286.3056	-15.54241	1.750225	0.04229345
26800	-302.1135	-285.8979	-16.21558	1.692482	0.1649317
27000	-305.777	-284.2012	-21.57581	2.148043	0.2374887
27200	-303.2937	-284.6154	-18.6783	2.012482	0.09199081
27400	-300.7189	-286.849	-13.86981	1.626961	0.0007839162
27600	-303.3523	-287.4	-15.95234	1.631058	0.19318
27800	-300.6742	-286.0977	-14.57648	1.67699	0.0208018
28000	-300.9478	-284.8377	-16.11003	1.813191	0.03797876
28200	-303.431	-288.5921	-14.83884	1.634914	0.08487203
28400	-304.075	-285.3002	-18.77481	2.092313	0.02507168
28600	-301.2193	-286.685	-14.53433	1.602661	0.0889367
28800	-302.7744	-289.904	-12.87042	1.450841	0.07184732
29000	-306.0443	-286.6617	-19.38257	1.655486	0.4992118
29200	-302.5598	-285.9371	-16.62261	1.698985	0.2007377
29400	-304.6518	-286.9299	-17.72192	2.003896	0.00850824
29600	-303.4587	-289.6318	-13.82689	1.451311	0.1665308
29800	-301.5595	-288.1744	-13.38517	1.534322	0.04279271
30000	-300.4955	-285.702	-14.79349	1.710476	0.00939613
30200	-302.7531	-287.2707	-15.48245	1.581457	0.1985976
30400	-302.3804	-286.7407	-15.6397	1.658827	0.141507
30600	-304.948	-285.9478	-19.00024	1.747216	0.3863055
30800	-301.511	-286.3009	-15.21009	1.684428	0.07408245
31000	-300.3785	-286.055	-14.32352	1.659084	0.01382893
31200	-302.8342	-286.469	-16.36522	1.780981	0.09142332
31400	-304.8499	-287.4239	-17.42592	1.647887	0.3239622
31600	-304.1867	-282.6856	-21.5011	2.334227	0.05657591
31800	-302.1179	-288.4355	-13.68236	1.557161	0.05019164
32000	-304.525	-285.3972	-19.12786	1.777562	0.3644898
32200	-302.9849	-284.8259	-18.15898	1.999376	0.05746952
32400	-302.2955	-284.0757	-18.21982	1.945817	0.1144343
32600	-304.1421	-285.1054	-19.0367	1.949817	0.1853869
32800	-303.2282	-283.4627	-19.7655	2.151916	0.06460973
33000	-301.7651	-287.6806	-14.0845	1.56485	0.08399677
33200	-300.8854	-287.0639	-13.82148	1.617957	0.004749669
33400	-301.1411	-285.0818	-16.05931	1.836743	0.00976916
33600	-301.7249	-287.2864	-14.43856	1.661637	0.02180577
33800	-305.6935	-287.2355	-18.45808	1.616005	0.4448828
34000	-304.2458	-292.093	-12.15277	1.448824	0.006988462
34200	-302.0781	-286.6936	-15.3844	1.747628	0.02967702
34400	-302.5864	-285.1113	-17.47506	1.913954	0.07158445
34600	-303.4991	-285.7579	-17.74122	1.997599	0.01670837
34800	-301.4834	-288.3182	-13.16522	1.518391	0.03728467
35000	-303.0457	-286.0457	-17.00003	1.738232	0.2033145
35200	-303.6948	-285.9602	-17.73459	1.998676	0.01595154
35400	-302.7653	-285.2883	-17.47706	1.861907	0.1279274
35600	-301.4096	-286.1551	-15.25456	1.677687	0.0868482
35800	-303.068	-287.5064	-15.56165	1.794139	0.002628642
36000	-304.7814	-284.9913	-19.79015	1.938057	0.2851887
36200	-300.6024	-285.5441	-15.05834	1.744397	0.002160173
36400	-301.7702	-283.3882	-18.38202	2.016234	0.06236553
36600	-300.6859	-285.8954	-14.79051	1.694122	0.02532119
36800	-301.5709	-286.9455	-14.62535	1.640381	0.06215006
37000	-302.3858	-284.2674	-18.11831	1.927428	0.1214875
37200	-302.0257	-287.9172	-14.10853	1.515612	0.1314128
37400	-301.9272	-284.3949	-17.53229	1.979967	0.01425218
37600	-304.3612	-292.0705	-12.29065	1.318244	0.1475911
37800	-303.92	-292.4256	-11.49445	1.335042	0.05452287
38000	-303.7987	-289.5008	-14.29794	1.481451	0.182895
38200	-301.8048	-287.6801	-14.12467	1.621573	0.02973102
38400	-301.2098	-288.3749	-12.83491	1.478122	0.04452424
38600	-305.6015	-285.4523	-20.14926	1.779548	0.4720674
38800	-302.4789	-284.6324	-17.84643	1.953695	0.06868845
39000	-303.3307	-283.168	-20.1627	2.099403	0.1582472
39200	-305.3162	-291.8844	-13.43183	1.582657	0.001233829
39400	-302.6173	-287.7808	-14.83643	1.701389	0.02126272
39600	-302.5473	-285.2923	-17.25505	1.900126	0.06246307
39800	-305.3652	-288.5537	-16.81154	1.699092	0.2148601
40000	-302.7256	-288.8832	-13.84236	1.57258	0.04885367
40200	-306.3042	-283.4181	-22.88607	2.516984	0.01247448
40400	-300.8081	-286.4128	-14.39535	1.644259	0.03492971
40600	-304.5502	-292.6661	-11.8841	1.383445	0.04284352
40800	-301.5285	-284.9674	-16.56114	1.797334	0.0974355
41000	-301.7678	-286.7327	-15.03508	1.685721	0.05539671
41200	-302.749	-285.535	-17.21394	1.906374	0.05318661
41400	-303.2515	-285.3899	-17.86157	1.941828	0.07990352
41600	-303.9386	-288.6661	-15.27248	1.566033	0.1924318
41800	-300.8195	-284.9428	-15.87667	1.790145	0.03732949
42000	-303.0182	-290.3887	-12.62957	1.487222	0.01583612
42200	-301.3151	-286.2397	-15.0754	1.678284	0.06761928
42400	-302.9276	-285.5398	-17.38781	1.956208	0.02368825
42600	-302.2654	-285.445	-16.8205	1.89665	0.02552097
42800	-304.0542	-287.6582	-16.39602	1.879195	0.001170055
43000	-305.5189	-286.6992	-18.81965	1.803192	0.2972277
43200	-302.087	-288.1219	-13.96504	1.597557	0.03699862
43400	-301.3353	-288.4926	-12.8427	1.491551	0.03243804
43600	-301.7579	-288.3912	-13.36667	1.485214	0.08873131
43800	-304.6	-288.9267	-15.67332	1.593258	0.197817
44000	-301.1136	-287.1575	-13.95605	1.595858	0.03876617
44200	-300.6141	-285.2997	-15.31433	1.769815	0.002332023
44400	-301.7615	-287.9811	-13.78036	1.600408	0.01757272
44600	-301.507	-289.2933	-12.21373	1.441944	0.01949835
44800	-302.575	-286.4586	-16.11644	1.810245	0.03934169
45000	-301.6468	-283.5163	-18.13055	2.015617	0.03802765
45200	-303.6893	-292.2768	-11.41245	1.354159	0.02563757
45400	-301.2207	-287.8216	-13.39915	1.55274	0.02745565
45600	-302.1041	-283.9031	-18.20092	2.044251	0.01680268
45800	-306.2446	-285.5976	-20.647	2.06024	0.2360916
46000	-304.2707	-287.1363	-17.13438	1.62208	0.3184571
46200	-303.4098	-287.2146	-16.1952	1.566475	0.2837748
46400	-305.2727	-293.4553	-11.81742	1.362773	0.05949893
46600	-301.3136	-287.5505	-13.76308	1.546273	0.06807423
46800	-303.6762	-285.2287	-18.44749	1.744294	0.3368667
